episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,44,WIPE,1338,162,10.8,0.892,0,-204.71,-216.09,-191.79,-210.1,-212.24,0,78,30,54,162,0,1,0,0,0,0,0.8
2,43,WIPE,1032,468,31.2,0.688,1,-178.82,-147.86,-170.91,-180.79,-184.76,294,51,69,54,468,35,3,0,0,0,1,0.9
3,55,WIPE,1295,205,13.67,0.8633,0,-197.203,-214.42,-181.67,-212.32,-197.62,0,90,7,108,205,35,3,0,0,0,0,1.1
4,59,WIPE,1314,186,12.4,0.876,0,-209.33,-203.77,-209.72,-205.0,-213.27,67,54,48,17,186,0,1,0,0,0,0,1.3
5,52,WIPE,1166,334,22.27,0.7773,0,-192.63,-187.97,-200.82,-173.8,-203.27,155,27,41,111,334,230,4,0,0,0,0,1.4
6,79,WIPE,1206,294,19.6,0.804,0,-178.07,-206.95,-176.4,-163.61,-194.2,0,70,116,108,294,240,5,0,0,0,0,1.6
7,45,WIPE,1014,486,32.4,0.676,1,-208.883,-153.09,-205.44,-209.37,-211.84,425,24,0,37,486,60,4,0,1,0,2,1.7
8,53,WIPE,1367,133,8.87,0.9113,0,-208.683,-220.05,-215.55,-194.45,-216.05,0,51,48,34,133,95,3,0,0,0,0,1.9
9,59,WIPE,1246,254,16.93,0.8307,0,-207.88,-184.44,-209.69,-197.81,-216.14,198,39,17,0,254,60,3,0,0,0,0,2.0
10,43,WIPE,1330,170,11.33,0.8867,0,-202.443,-214.08,-196.13,-197.97,-213.23,0,78,38,54,170,60,1,0,0,0,0,2.1
11,44,WIPE,1299,201,13.4,0.866,0,-202.57,-208.89,-200.09,-204.63,-202.99,67,63,0,71,201,60,4,0,0,0,0,2.3
12,62,WIPE,1228,272,18.13,0.8187,0,-199.447,-198.87,-176.67,-207.85,-213.82,67,144,7,54,272,0,3,0,0,0,0,2.4
13,60,WIPE,1383,117,7.8,0.922,0,-207.977,-214.5,-207.3,-199.98,-216.65,0,63,17,37,117,60,2,0,0,0,0,2.6
14,66,WIPE,1160,340,22.67,0.7733,0,-188.69,-189.19,-165.89,-185.84,-214.34,187,51,65,37,340,155,4,0,0,0,0,2.8
15,53,WIPE,1237,263,17.53,0.8247,0,-200.66,-192.08,-200.08,-201.27,-200.63,134,24,0,105,263,50,4,0,0,0,0,3.0
16,47,WIPE,1350,150,10.0,0.9,0,-205.227,-214.37,-196.42,-209.44,-209.82,0,99,0,51,150,0,2,0,0,0,0,3.1
17,113,WIPE,1273,227,15.13,0.8487,0,-171.09,-183.37,-138.97,-173.33,-200.97,134,39,0,54,227,410,4,0,0,0,0,3.4
18,54,WIPE,1071,429,28.6,0.714,0,-201.233,-167.24,-199.79,-204.02,-199.89,262,82,17,68,429,60,4,0,0,0,0,3.6
19,52,WIPE,1358,142,9.47,0.9053,0,-205.193,-203.68,-199.63,-205.57,-210.38,67,24,0,51,142,60,1,0,0,0,0,3.7
20,54,WIPE,1085,415,27.67,0.7233,0,-191.6,-155.28,-195.28,-169.14,-210.38,329,24,62,0,415,180,1,0,0,0,0,3.9
21,51,WIPE,1220,280,18.67,0.8133,0,-205.59,-195.74,-219.74,-197.09,-199.94,134,24,14,108,280,30,3,0,0,0,0,4.0
22,52,WIPE,1165,335,22.33,0.7767,0,-199.643,-199.42,-195.77,-203.29,-199.87,88,162,14,71,335,0,5,0,0,0,0,4.1
23,42,WIPE,1043,457,30.47,0.6953,1,-179.763,-151.71,-173.16,-179.27,-186.86,262,87,0,108,457,110,1,0,0,0,1,4.2
24,50,WIPE,1313,187,12.47,0.8753,0,-212.34,-203.89,-212.44,-212.94,-211.64,67,72,14,34,187,0,2,0,0,0,0,4.4
25,36,WIPE,1361,139,9.27,0.9073,0,-214.023,-207.54,-211.39,-213.29,-217.39,67,48,7,17,139,0,1,0,0,0,0,4.5
26,48,WIPE,1279,221,14.73,0.8527,0,-199.64,-191.81,-193.01,-187.7,-218.21,131,36,54,0,221,165,6,0,0,0,0,4.6
27,44,WIPE,1259,241,16.07,0.8393,0,-202.6,-196.99,-187.69,-209.17,-210.94,131,66,7,37,241,0,2,0,0,0,0,4.7
28,62,WIPE,1298,202,13.47,0.8653,0,-209.17,-202.83,-223.93,-196.3,-207.28,67,63,38,34,202,165,3,0,0,0,0,4.9
29,49,WIPE,1221,279,18.6,0.814,0,-189.163,-209.12,-178.67,-196.55,-192.27,0,99,7,173,279,120,3,0,0,0,0,5.0
30,81,WIPE,1198,302,20.13,0.7987,0,-175.633,-210.16,-151.41,-185.78,-189.71,0,102,41,159,302,60,5,0,0,0,0,5.3
31,69,WIPE,858,642,42.8,0.572,1,-154.857,-103.56,-153.56,-149.2,-161.81,425,39,73,105,642,60,5,0,0,0,0,5.4
32,42,WIPE,1317,183,12.2,0.878,0,-212.76,-203.08,-219.08,-201.32,-217.88,67,54,45,17,183,35,0,0,0,0,0,5.6
33,60,WIPE,887,613,40.87,0.5913,1,-209.827,-163.32,-199.62,-204.44,-225.42,417,87,38,71,613,120,3,0,3,0,1,5.7
34,44,WIPE,1343,157,10.47,0.8953,0,-207.74,-220.27,-200.42,-212.08,-210.72,0,75,14,68,157,0,2,0,0,0,0,5.9
35,44,WIPE,908,592,39.47,0.6053,1,-184.06,-139.33,-178.23,-171.12,-202.83,396,87,55,54,592,120,1,0,0,0,2,6.0
36,35,WIPE,1302,198,13.2,0.868,0,-208.55,-201.49,-198.84,-209.22,-217.59,99,51,31,17,198,0,3,0,0,0,0,6.1
37,51,WIPE,1290,210,14.0,0.86,0,-208.537,-196.33,-207.03,-192.45,-226.13,131,48,31,0,210,60,1,0,0,0,0,6.2
38,58,WIPE,1112,388,25.87,0.7413,0,-189.727,-182.03,-202.83,-165.22,-201.13,166,99,69,54,388,240,2,0,0,0,0,6.4
39,58,WIPE,1048,452,30.13,0.6987,1,-191.49,-154.89,-219.09,-179.89,-175.49,230,63,31,128,452,60,7,0,0,0,1,6.6
40,50,WIPE,1389,111,7.4,0.926,0,-227.557,-205.6,-249.2,-216.32,-217.15,67,0,7,37,111,0,2,0,0,0,0,6.8
41,41,WIPE,1273,227,15.13,0.8487,0,-201.433,-217.96,-196.66,-211.23,-196.41,0,78,7,142,227,0,4,0,0,0,0,6.9
42,67,WIPE,1246,254,16.93,0.8307,0,-189.803,-212.37,-176.22,-187.27,-205.92,0,138,62,54,254,110,2,0,0,0,0,7.1
43,44,WIPE,1268,232,15.47,0.8453,0,-201.707,-203.7,-192.05,-208.57,-204.5,67,84,7,74,232,0,1,0,0,0,0,7.2
44,75,WIPE,1048,452,30.13,0.6987,1,-173.48,-185.37,-190.57,-162.35,-167.52,67,117,69,199,452,215,3,0,0,0,1,7.5
45,48,WIPE,1270,230,15.33,0.8467,0,-207.383,-203.37,-207.12,-207.31,-207.72,67,75,17,71,230,0,2,0,0,0,0,7.6
46,92,WIPE,1156,344,22.93,0.7707,0,-166.663,-209.08,-151.78,-154.08,-194.13,67,66,106,105,344,425,2,0,0,0,0,7.9
47,41,WIPE,1285,215,14.33,0.8567,0,-208.317,-202.87,-212.02,-207.86,-205.07,67,12,31,105,215,0,2,0,0,0,0,8.0
48,35,WIPE,1235,265,17.67,0.8233,0,-210.877,-189.1,-207.45,-208.98,-216.2,166,75,24,0,265,0,3,0,0,0,0,8.1
49,65,WIPE,1027,473,31.53,0.6847,0,-197.307,-149.52,-187.97,-200.33,-203.62,361,81,14,17,473,0,2,0,0,0,0,8.3
50,38,WIPE,1180,320,21.33,0.7867,0,-192.247,-202.35,-193.45,-187.29,-196.0,67,87,24,142,320,155,3,0,0,0,0,8.5
51,51,WIPE,1229,271,18.07,0.8193,0,-198.553,-199.87,-198.12,-195.82,-201.72,67,78,38,88,271,60,0,0,0,0,0,8.6
