episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,65,WIPE,420,480,53.33,0.4667,1,49.048,134.88,11.17,125.98,9.993,279,93,42,66,480,0,0,0,0,0,2,0.8
2,300,TIMEOUT,708,192,21.33,0.7867,0,-828.79,135.02,-21.47,-1208.4,-1256.5,0,96,30,66,192,290,3,0,0,0,0,1.4
3,81,VICTORY,0,900,100.0,0.0,2,902.851,746.43,805.305,946.038,957.212,201,0,222,477,900,160,2,0,0,0,0,1.5
4,126,WIPE,240,660,73.33,0.2667,2,58.576,17.81,-16.579,148.8,43.508,201,15,189,255,660,155,2,1,0,0,1,1.7
5,65,VICTORY,0,900,100.0,0.0,2,759.909,769.65,750.708,751.412,777.608,363,0,162,375,900,0,0,0,0,0,0,1.8
6,228,WIPE,771,129,14.33,0.8567,0,-334.787,28.17,-87.19,-105.83,-811.34,81,48,0,0,129,30,7,0,0,0,0,2.1
7,300,TIMEOUT,633,267,29.67,0.7033,0,-333.567,123.26,22.7,-884.15,-139.25,201,48,18,0,267,415,2,0,0,0,0,2.6
8,85,WIPE,774,126,14.0,0.86,0,-54.34,55.32,-120.36,-143.68,101.02,0,33,27,66,126,160,5,0,0,0,0,2.7
9,300,TIMEOUT,750,150,16.67,0.8333,0,-625.377,8.13,-420.54,-1068.05,-387.54,81,48,0,21,150,358,0,0,0,0,0,3.2
10,180,WIPE,633,267,29.67,0.7033,0,-409.94,-8.37,-250.03,-415.11,-564.68,81,111,30,45,267,48,4,0,0,0,0,3.5
11,80,VICTORY,0,900,100.0,0.0,2,964.467,849.3,960.132,1049.717,883.553,382,68,231,219,900,0,3,0,0,0,0,3.8
12,100,WIPE,417,483,53.67,0.4633,1,-137.69,-25.49,-140.397,-154.493,-118.18,81,207,63,132,483,35,1,0,0,0,1,3.9
13,66,WIPE,486,414,46.0,0.54,1,92.574,155.23,64.292,130.366,83.066,162,78,42,132,414,0,0,0,0,0,1,4.0
14,77,WIPE,69,831,92.33,0.0767,2,633.224,685.744,652.076,639.534,608.062,441,48,135,207,831,0,0,0,0,0,0,4.1
15,92,WIPE,471,429,47.67,0.5233,1,144.377,226.34,1.68,311.034,120.417,0,48,96,285,429,110,7,0,0,0,0,4.2
16,300,TIMEOUT,654,246,27.33,0.7267,0,-935.507,-6.67,-191.17,-1220.05,-1395.3,159,0,21,66,246,350,8,0,0,0,0,5.0
17,94,WIPE,294,606,67.33,0.3267,1,-124.319,32.12,-189.64,-69.658,-113.658,240,111,81,174,606,80,3,0,0,0,1,5.1
