episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,55,WIPE,479,421,46.78,0.5322,1,78.575,85.58,55.159,118.761,61.805,198,108,28,87,421,238,6,0,0,0,1,0.9
2,58,WIPE,480,420,46.67,0.5333,1,61.101,124.42,67.54,92.046,23.716,213,147,15,45,420,206,7,0,0,0,2,1.1
3,77,WIPE,423,477,53.0,0.47,1,122.63,229.391,148.212,182.207,37.472,243,189,0,45,477,215,8,1,1,0,1,1.3
4,54,WIPE,417,483,53.67,0.4633,1,57.112,117.46,-31.519,198.246,4.609,318,33,45,87,483,395,6,0,0,0,1,1.4
5,67,WIPE,567,333,37.0,0.63,1,35.198,49.41,14.529,0.84,90.224,81,96,21,135,333,126,4,0,0,0,1,1.6
6,84,WIPE,401,499,55.44,0.4456,1,48.212,133.88,41.555,116.257,-13.174,198,169,21,111,499,171,5,2,0,0,1,1.8
7,77,WIPE,365,535,59.44,0.4056,1,82.313,111.144,2.871,113.843,130.225,307,81,60,87,535,145,8,0,1,0,1,2.0
8,70,WIPE,549,351,39.0,0.61,1,-70.977,6.48,-57.317,55.625,-211.24,0,114,39,198,351,420,7,0,0,0,2,2.2
9,64,WIPE,588,312,34.67,0.6533,1,70.553,73.72,26.797,155.406,29.455,159,111,21,21,312,230,5,0,0,0,1,2.3
10,60,WIPE,453,447,49.67,0.5033,1,104.339,117.94,9.077,176.163,127.778,171,162,39,75,447,230,5,0,0,0,1,2.5
11,78,WIPE,411,489,54.33,0.4567,1,169.01,141.797,162.101,161.988,182.94,81,213,12,183,489,161,5,1,0,0,2,2.7
12,57,WIPE,408,492,54.67,0.4533,1,-7.064,98.34,-60.279,27.189,11.897,201,33,21,237,492,150,6,0,0,0,1,2.8
13,61,WIPE,519,381,42.33,0.5767,1,121.66,84.141,65.186,211.862,87.933,240,63,36,42,381,320,6,2,0,0,0,3.0
14,54,WIPE,558,342,38.0,0.62,1,-44.109,-35.14,-73.25,-1.679,-57.4,0,93,9,240,342,400,3,0,0,0,1,3.1
15,56,WIPE,516,384,42.67,0.5733,1,-144.214,11.9,-175.374,-34.157,-223.11,198,99,21,66,384,280,5,0,0,0,0,3.2
16,68,WIPE,354,546,60.67,0.3933,1,147.059,175.09,128.709,156.534,155.933,162,192,39,153,546,383,8,1,0,0,1,3.4
17,86,WIPE,390,510,56.67,0.4333,1,145.002,92.77,-24.818,380.77,79.055,0,270,39,201,510,500,6,0,0,0,2,4.0
18,77,WIPE,373,527,58.56,0.4144,1,112.656,56.678,86.469,209.698,41.801,240,161,60,66,527,448,7,0,0,0,2,4.2
19,49,WIPE,501,399,44.33,0.5567,1,7.992,91.734,2.953,16.556,4.467,240,129,30,0,399,43,4,0,1,0,1,4.3
20,64,WIPE,566,334,37.11,0.6289,1,54.087,106.35,-29.561,190.729,1.093,0,73,0,261,334,355,6,0,1,0,0,4.4
21,59,WIPE,551,349,38.78,0.6122,1,112.824,52.846,47.507,222.182,68.784,201,33,49,66,349,419,7,0,1,0,1,4.6
22,89,WIPE,336,564,62.67,0.3733,1,90.004,95.97,75.297,184.677,10.039,240,246,12,66,564,299,6,0,0,0,2,4.8
23,85,WIPE,603,297,33.0,0.67,1,112.199,133.17,-75.816,345.147,67.267,0,78,42,177,297,530,5,0,0,0,1,5.0
24,57,WIPE,486,414,46.0,0.54,1,75.65,84.35,69.226,74.656,83.067,318,87,9,0,414,32,11,0,0,0,2,5.2
25,51,WIPE,511,389,43.22,0.5678,1,87.01,64.63,46.883,154.723,59.424,162,53,42,132,389,290,5,0,0,0,1,5.3
26,71,WIPE,465,435,48.33,0.5167,1,62.913,121.949,34.291,169.205,-14.756,120,243,27,45,435,174,6,0,1,0,2,5.5
27,62,WIPE,390,510,56.67,0.4333,1,115.217,102.337,74.489,141.539,129.625,240,147,15,108,510,169,6,0,0,0,2,5.6
28,60,WIPE,486,414,46.0,0.54,1,104.779,154.74,8.861,224.783,80.691,159,162,51,42,414,479,10,0,0,0,1,5.8
29,60,WIPE,360,540,60.0,0.4,1,82.546,54.923,54.814,135.557,57.267,222,159,21,138,540,231,5,0,1,0,2,5.9
30,61,WIPE,474,426,47.33,0.5267,1,119.357,95.97,20.316,280.505,57.25,159,66,30,171,426,445,4,0,0,0,1,6.1
31,73,WIPE,483,417,46.33,0.5367,1,79.604,136.66,-5.462,181.329,62.943,240,126,42,9,417,346,4,0,0,0,2,6.3
32,87,WIPE,288,612,68.0,0.32,2,21.935,108.19,-84.927,82.871,67.86,237,159,21,195,612,46,7,0,1,0,0,6.5
33,67,WIPE,510,390,43.33,0.5667,1,60.212,148.03,13.318,174.778,-7.461,318,48,3,21,390,260,2,0,0,0,1,7.1
34,65,WIPE,546,354,39.33,0.6067,1,104.708,57.26,13.632,212.758,87.734,159,33,30,132,354,305,4,0,0,0,2,7.3
35,60,WIPE,321,579,64.33,0.3567,1,86.218,66.78,34.937,135.844,87.871,201,114,24,240,579,200,6,0,0,0,1,7.5
36,68,WIPE,549,351,39.0,0.61,1,-94.601,-2.89,-109.051,-103.165,-71.586,81,81,15,174,351,13,3,0,0,0,2,7.6
37,55,WIPE,408,492,54.67,0.4533,1,135.025,79.683,73.938,136.504,194.632,162,60,9,261,492,130,5,0,0,0,2,7.8
38,58,WIPE,396,504,56.0,0.44,1,-6.755,119.64,11.232,24.459,-55.955,279,144,39,42,504,218,5,0,0,0,2,7.9
39,60,WIPE,429,471,52.33,0.4767,1,88.003,132.06,119.421,81.628,62.961,240,114,9,108,471,81,5,0,0,0,2,8.1
40,70,WIPE,513,387,43.0,0.57,1,86.648,144.42,22.483,167.987,69.474,162,78,39,108,387,381,6,0,0,0,1,8.3
41,66,WIPE,384,516,57.33,0.4267,1,54.94,84.91,-40.263,141.454,63.63,162,141,81,132,516,180,5,0,0,0,1,8.4
42,72,WIPE,531,369,41.0,0.59,1,129.514,93.473,67.341,243.086,78.116,159,126,42,42,369,435,10,0,1,0,1,8.6
43,78,WIPE,468,432,48.0,0.52,1,95.49,298.66,93.478,74.126,118.868,198,75,30,129,432,35,0,1,0,0,1,8.8
44,49,WIPE,480,420,46.67,0.5333,1,20.136,96.37,-73.92,79.944,54.385,198,15,30,177,420,143,5,0,0,0,1,9.0
45,76,WIPE,306,594,66.0,0.34,2,92.783,104.38,19.013,140.032,119.306,279,66,9,240,594,209,5,0,0,0,1,9.2
46,70,WIPE,507,393,43.67,0.5633,1,177.774,144.61,125.32,230.918,177.086,120,177,42,54,393,424,6,1,0,0,2,9.3
47,61,WIPE,495,405,45.0,0.55,1,47.106,154.62,-14.746,100.098,55.966,213,192,0,0,405,370,8,0,0,0,0,9.5
48,55,WIPE,495,405,45.0,0.55,1,89.27,107.92,-18.684,152.983,133.509,120,48,21,216,405,195,7,0,0,0,1,9.6
49,76,WIPE,339,561,62.33,0.3767,1,88.683,110.61,29.101,113.571,123.376,162,234,12,153,561,217,4,0,0,0,1,10.2
50,57,WIPE,516,384,42.67,0.5733,1,23.604,121.23,-28.343,112.648,-13.494,282,15,21,66,384,195,6,0,0,0,1,10.4
51,63,WIPE,420,480,53.33,0.4667,1,105.052,122.779,77.141,93.316,144.698,279,63,9,129,480,150,6,0,0,0,2,10.6
52,62,WIPE,522,378,42.0,0.58,1,94.357,84.93,-17.711,205.992,94.792,162,63,42,111,378,475,9,0,0,0,0,10.7
53,68,WIPE,357,543,60.33,0.3967,1,45.449,109.1,-96.388,155.854,76.881,198,162,9,174,543,275,3,0,0,0,2,10.9
54,61,WIPE,593,307,34.11,0.6589,1,62.049,86.65,68.481,129.159,-11.492,162,124,21,0,307,295,2,1,0,0,1,11.0
55,50,WIPE,420,480,53.33,0.4667,1,95.13,107.776,42.641,147.045,95.705,171,129,30,150,480,210,5,0,0,0,2,11.2
56,73,WIPE,459,441,49.0,0.51,1,112.416,155.736,81.521,124.793,130.933,198,114,42,87,441,400,5,1,0,0,2,11.4
57,74,WIPE,480,420,46.67,0.5333,1,57.538,95.507,3.087,127.008,42.519,261,30,21,108,420,136,8,0,0,0,1,11.5
58,61,WIPE,554,346,38.44,0.6156,1,-107.957,26.42,-144.232,-31.54,-148.1,198,66,37,45,346,210,8,0,0,0,1,11.7
59,65,WIPE,438,462,51.33,0.4867,1,57.782,71.59,-5.395,194.79,-16.048,120,159,72,111,462,306,4,1,0,0,1,11.9
60,62,WIPE,483,417,46.33,0.5367,1,101.54,87.33,33.804,154.848,115.966,201,63,0,153,417,182,5,0,0,0,2,12.0
61,73,WIPE,474,426,47.33,0.5267,1,125.243,110.66,72.82,214.18,88.729,201,111,24,90,426,300,5,0,0,0,0,12.2
62,76,WIPE,243,657,73.0,0.27,2,46.463,89.265,-27.16,84.369,82.18,399,87,18,153,657,95,7,0,1,0,0,12.4
63,68,WIPE,477,423,47.0,0.53,1,20.64,114.8,-115.241,118.514,58.647,279,81,0,63,423,214,5,0,0,0,0,12.6
64,72,WIPE,396,504,56.0,0.44,1,29.171,111.313,-36.174,73.073,50.613,237,129,9,129,504,96,7,0,1,0,2,12.8
65,66,WIPE,579,321,35.67,0.6433,1,-108.346,-47.61,-154.277,15.443,-186.204,81,81,51,108,321,260,5,0,0,0,0,13.4
66,65,WIPE,408,492,54.67,0.4533,1,109.085,114.737,93.007,173.666,60.581,282,144,0,66,492,275,4,0,0,0,2,13.5
67,62,WIPE,365,535,59.44,0.4056,1,138.28,274.311,172.987,68.879,172.974,201,157,39,138,535,35,5,2,0,0,1,13.7
68,62,WIPE,452,448,49.78,0.5022,1,150.249,70.37,78.91,222.796,149.04,187,66,0,195,448,254,8,0,0,0,1,13.8
69,62,WIPE,542,358,39.78,0.6022,1,81.934,143.31,58.792,94.707,92.304,240,45,28,45,358,178,4,0,0,0,1,14.0
70,63,WIPE,492,408,45.33,0.5467,1,0.76,88.357,-50.301,51.718,0.861,237,63,21,87,408,83,4,0,1,0,2,14.2
71,87,WIPE,453,447,49.67,0.5033,1,52.278,107.69,7.192,81.895,67.748,201,114,21,111,447,135,4,0,0,0,2,14.4
72,86,WIPE,97,803,89.22,0.1078,2,325.196,231.461,209.796,551.963,213.83,402,154,34,213,803,646,14,0,0,0,0,14.6
73,58,WIPE,417,483,53.67,0.4633,1,99.936,117.01,48.144,148.242,103.424,240,63,9,171,483,226,4,0,0,0,2,14.8
74,82,WIPE,413,487,54.11,0.4589,1,92.242,184.37,146.843,38.552,91.33,183,255,4,45,487,13,6,1,0,0,2,15.0
75,50,WIPE,546,354,39.33,0.6067,1,38.091,109.75,-50.73,75.178,89.824,198,0,27,129,354,50,5,0,0,0,1,15.1
76,72,WIPE,426,474,52.67,0.4733,1,68.347,80.56,-49.689,135.013,119.716,0,129,60,285,474,190,3,0,0,0,1,15.3
77,59,WIPE,402,498,55.33,0.4467,1,96.129,143.076,70.876,124.17,93.341,198,129,30,141,498,88,6,0,1,0,2,15.4
78,71,WIPE,453,447,49.67,0.5033,1,63.195,109.72,61.414,74.408,53.763,159,192,30,66,447,111,4,2,0,0,1,15.6
79,88,WIPE,507,393,43.67,0.5633,1,84.406,101.59,85.498,216.807,-49.086,120,123,42,108,393,371,4,0,1,0,1,15.8
80,71,WIPE,549,351,39.0,0.61,1,-8.915,58.51,-121.814,65.98,29.09,162,126,21,42,351,160,7,0,0,0,0,16.4
81,56,WIPE,471,429,47.67,0.5233,1,41.768,116.96,-8.688,144.254,-10.261,237,63,42,87,429,240,4,0,0,0,1,16.6
82,79,WIPE,540,360,40.0,0.6,1,125.445,66.72,-10.506,287.453,99.389,120,111,21,108,360,323,6,0,0,0,2,16.8
83,63,WIPE,519,381,42.33,0.5767,1,-18.943,82.48,-89.09,85.39,-53.129,81,81,0,219,381,266,4,0,1,0,0,16.9
84,51,WIPE,354,546,60.67,0.3933,1,101.71,71.99,110.549,112.87,81.711,162,144,21,219,546,210,3,0,0,0,2,17.1
