episode,steps,result,boss_hp_remaining,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_tank,damage_healer,damage_support,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,57,WIPE,2035,0.814,0,-187.3,-158.91,-162.86,-198.63,-200.41,120,14,37,0,3,0,0,0,0,0.9
2,59,WIPE,2159,0.8636,0,-198.493,-179.39,-194.34,-200.2,-200.94,75,17,54,35,1,0,0,0,0,1.0
3,51,WIPE,2312,0.9248,0,-195.893,-212.81,-176.51,-203.66,-207.51,79,7,102,80,4,0,0,0,0,1.2
4,73,WIPE,2156,0.8624,0,-199.527,-189.35,-207.2,-189.98,-201.4,78,41,91,80,1,0,0,0,0,1.4
5,103,WIPE,2207,0.8828,0,-180.473,-179.24,-133.49,-190.79,-217.14,36,91,0,110,4,0,0,0,0,1.6
6,67,WIPE,2437,0.9748,0,-204.937,-216.32,-175.87,-209.37,-229.57,39,24,0,30,3,0,0,0,0,1.8
7,49,WIPE,2111,0.8444,0,-194.103,-168.95,-184.35,-204.46,-193.5,12,7,108,0,4,0,0,0,0,1.9
8,40,WIPE,2108,0.8432,0,-202.793,-153.59,-194.69,-204.45,-209.24,27,7,0,40,4,0,0,0,0,2.1
9,58,WIPE,2304,0.9216,0,-208.78,-203.55,-210.5,-201.39,-214.45,105,24,0,35,1,0,0,0,0,2.2
10,40,WIPE,2194,0.8776,0,-204.043,-184.49,-195.29,-207.95,-208.89,40,14,54,0,4,0,0,0,0,2.4
11,45,WIPE,2185,0.874,0,-200.31,-187.05,-196.75,-199.93,-204.25,27,17,105,40,2,0,0,0,0,2.5
12,54,WIPE,2288,0.9152,0,-200.54,-194.56,-178.71,-208.35,-214.56,75,0,17,40,5,0,0,0,0,2.6
13,48,WIPE,2328,0.9312,0,-207.053,-216.08,-201.43,-210.05,-209.68,90,14,68,30,3,0,0,0,0,2.8
14,63,WIPE,1864,0.7456,0,-192.127,-124.23,-186.38,-185.12,-204.88,66,24,54,135,6,0,0,0,0,2.9
15,49,WIPE,2311,0.9244,0,-199.843,-215.68,-185.33,-207.77,-206.43,114,24,51,0,5,0,0,0,0,3.1
16,64,WIPE,2223,0.8892,0,-191.847,-211.19,-182.64,-204.01,-188.89,70,31,176,0,7,0,0,0,0,3.3
17,52,WIPE,1926,0.7704,0,-197.647,-128.3,-193.05,-197.94,-201.95,24,24,34,0,4,0,0,0,0,3.4
18,73,WIPE,2232,0.8928,0,-179.303,-209.14,-135.99,-188.18,-213.74,183,48,37,160,10,0,0,0,0,3.6
19,45,WIPE,2205,0.882,0,-199.937,-192.01,-192.91,-205.29,-201.61,39,34,88,0,0,0,0,0,0,3.7
20,32,WIPE,2105,0.842,0,-200.497,-173.55,-201.5,-197.79,-202.2,63,48,54,40,2,0,0,0,0,3.8
21,58,WIPE,2203,0.8812,0,-191.71,-201.43,-189.98,-196.57,-188.58,51,0,179,80,4,0,0,0,0,3.9
22,30,WIPE,2184,0.8736,0,-203.34,-198.14,-202.14,-207.74,-200.14,78,31,108,0,2,0,0,0,0,4.1
23,38,WIPE,2344,0.9376,0,-204.667,-218.51,-194.26,-210.33,-209.41,51,34,71,0,6,0,0,0,0,4.2
24,57,WIPE,2142,0.8568,0,-195.943,-179.22,-190.47,-199.74,-197.62,24,62,74,40,2,0,0,0,0,4.3
25,52,WIPE,2047,0.8188,0,-201.287,-150.55,-199.7,-204.16,-200.0,24,0,68,0,1,0,0,0,0,4.4
26,42,WIPE,2100,0.84,0,-195.79,-167.54,-191.69,-198.09,-197.59,36,14,88,65,4,0,0,0,0,4.5
27,46,WIPE,2122,0.8488,0,-197.917,-172.6,-191.5,-194.55,-207.7,66,48,34,40,0,0,0,0,0,4.7
