episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,29,WIPE,576,324,36.0,0.64,1,93.453,102.17,144.12,96.12,40.12,237,15,30,42,324,0,1,0,0,0,0,1.5
2,28,WIPE,585,315,35.0,0.65,1,21.963,86.03,41.03,31.93,-7.07,198,0,33,84,315,80,1,0,0,0,0,1.5
3,27,WIPE,615,285,31.67,0.6833,1,27.64,71.54,61.94,17.24,3.74,159,0,0,126,285,50,3,0,0,0,0,1.6
4,27,WIPE,618,282,31.33,0.6867,1,17.173,90.74,25.24,31.54,-5.26,198,0,0,84,282,50,2,0,0,0,0,1.7
5,29,WIPE,611,289,32.11,0.6789,1,9.287,50.97,-24.48,42.22,10.12,198,0,28,63,289,125,3,0,0,0,0,1.8
6,29,WIPE,630,270,30.0,0.7,1,48.087,39.27,93.62,44.72,5.92,120,0,0,150,270,25,1,0,0,0,0,1.8
7,34,WIPE,627,273,30.33,0.6967,1,48.27,68.92,46.57,0.07,98.17,210,0,0,63,273,0,4,0,0,0,0,1.9
8,29,WIPE,594,306,34.0,0.66,1,44.553,75.47,108.32,14.22,11.12,159,0,0,147,306,25,2,0,0,0,0,2.0
9,41,WIPE,627,273,30.33,0.6967,1,-14.533,-74.4,-0.4,-6.7,-36.5,81,48,39,105,273,240,6,0,0,0,0,2.1
10,29,WIPE,597,303,33.67,0.6633,1,47.587,-15.38,87.52,44.62,10.62,240,0,0,63,303,115,2,0,0,0,0,2.3
11,30,WIPE,621,279,31.0,0.69,1,80.043,-15.09,95.71,124.61,19.81,81,0,9,189,279,160,4,0,0,0,0,2.4
12,34,WIPE,630,270,30.0,0.7,1,45.403,-33.93,94.77,36.77,4.67,81,0,0,189,270,120,4,0,0,0,0,2.5
13,27,WIPE,621,279,31.0,0.69,1,58.273,71.54,74.54,53.84,46.44,159,15,0,105,279,0,2,0,0,0,0,2.6
14,36,WIPE,590,310,34.44,0.6556,1,45.05,45.8,141.15,-2.15,-3.85,226,0,0,84,310,85,2,0,0,0,0,2.7
15,31,WIPE,540,360,40.0,0.6,1,-5.5,32.15,-18.1,-19.5,21.1,222,33,0,105,360,65,4,0,0,0,0,2.8
16,30,WIPE,606,294,32.67,0.6733,1,2.777,50.26,11.81,11.41,-14.89,159,0,9,126,294,80,2,0,0,0,0,2.8
17,30,WIPE,600,300,33.33,0.6667,1,23.177,40.41,13.61,79.61,-23.69,120,33,0,147,300,165,3,0,0,0,0,2.9
18,45,WIPE,612,288,32.0,0.68,1,-35.84,-20.74,-117.94,18.86,-8.44,0,33,0,255,288,35,3,0,0,0,0,3.0
19,33,WIPE,621,279,31.0,0.69,1,18.747,61.28,9.58,60.88,-14.22,279,0,0,0,279,110,4,0,0,0,0,3.3
20,39,WIPE,579,321,35.67,0.6433,1,28.72,20.17,75.52,36.82,-26.18,81,0,51,189,321,240,2,0,0,0,0,3.4
21,28,WIPE,618,282,31.33,0.6867,1,40.563,96.53,105.33,-18.97,35.33,198,0,0,84,282,83,4,0,0,0,0,3.4
22,37,WIPE,630,270,30.0,0.7,1,55.407,-18.06,77.94,68.44,19.84,81,0,0,189,270,240,3,0,0,0,0,3.5
23,28,WIPE,630,270,30.0,0.7,1,15.397,107.03,69.33,54.33,-77.47,198,0,9,63,270,0,3,0,0,0,0,3.6
24,35,WIPE,599,301,33.44,0.6656,1,54.26,-1.89,49.66,42.66,70.46,145,0,9,147,301,35,6,0,0,0,0,3.7
25,40,WIPE,615,285,31.67,0.6833,1,-36.157,-56.69,-65.69,-12.49,-30.29,0,30,21,234,285,0,3,0,0,0,0,3.8
26,35,WIPE,624,276,30.67,0.6933,1,82.927,33.51,79.36,134.86,34.56,120,0,9,147,276,145,4,0,0,0,0,3.9
27,42,WIPE,588,312,34.67,0.6533,1,24.657,-27.61,61.39,34.09,-21.51,120,0,0,192,312,240,4,0,0,0,0,4.2
28,28,WIPE,621,279,31.0,0.69,1,46.33,106.88,68.83,31.13,39.03,237,0,0,42,279,53,3,0,0,0,0,4.3
29,29,WIPE,597,303,33.67,0.6633,1,42.087,67.97,25.42,48.12,52.72,240,0,0,63,303,96,5,0,0,0,0,4.3
