episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,55,WIPE,691,209,23.22,0.7678,0,-247.36,-79.38,-334.49,-158.95,-248.64,0,35,108,66,209,160,1,0,0,0,0,1.0
2,37,WIPE,369,531,59.0,0.41,1,35.807,56.29,38.94,97.94,-29.46,360,78,27,66,531,120,2,0,0,0,0,1.1
3,78,WIPE,605,295,32.78,0.6722,1,-156.693,-80.94,-333.07,-63.1,-73.91,81,111,37,66,295,0,3,0,0,0,0,1.3
4,71,WIPE,594,306,34.0,0.66,1,-294.447,-87.65,-391.2,-265.8,-226.34,81,30,39,156,306,335,0,0,0,0,0,1.5
5,108,WIPE,612,288,32.0,0.68,1,-347.19,-64.76,-549.27,-310.8,-181.5,81,132,75,0,288,180,1,0,0,0,0,1.7
6,43,WIPE,606,294,32.67,0.6733,1,-8.62,3.88,-35.52,73.88,-64.22,198,30,21,45,294,160,5,0,0,0,0,2.0
7,68,WIPE,621,279,31.0,0.69,1,-206.337,-107.15,-245.27,-231.67,-142.07,81,63,72,63,279,430,5,0,0,0,0,2.2
8,56,WIPE,612,288,32.0,0.68,1,-188.217,-90.83,-184.15,-230.35,-150.15,159,33,51,45,288,115,7,0,0,0,0,2.4
9,58,WIPE,495,405,45.0,0.55,1,-105.89,49.83,-145.77,-9.1,-162.8,243,33,39,90,405,80,4,0,0,0,0,2.5
10,74,WIPE,633,267,29.67,0.7033,0,-186.01,-138.22,-310.83,-94.87,-152.33,120,111,36,0,267,80,1,0,0,0,0,2.7
11,52,WIPE,411,489,54.33,0.4567,1,25.99,47.74,-14.41,56.99,35.39,243,0,69,177,489,115,5,0,0,0,0,2.9
12,43,WIPE,585,315,35.0,0.65,1,-0.253,26.53,20.48,-30.72,9.48,198,0,51,66,315,65,1,0,0,0,0,3.1
13,73,WIPE,629,271,30.11,0.6989,1,-183.417,-60.48,-302.52,-68.52,-179.21,145,126,0,0,271,0,5,0,0,0,0,3.2
14,62,WIPE,627,273,30.33,0.6967,1,-292.893,-99.23,-418.21,-147.26,-313.21,81,126,21,45,273,65,2,0,0,0,0,3.4
15,83,WIPE,660,240,26.67,0.7333,0,-378.307,-87.65,-494.26,-166.84,-473.82,81,111,48,0,240,0,0,0,0,0,0,3.6
16,48,WIPE,492,408,45.33,0.5467,1,-9.803,30.58,-0.27,57.83,-86.97,324,45,39,0,408,105,2,0,0,0,0,3.9
17,35,WIPE,525,375,41.67,0.5833,1,-2.807,64.21,-33.54,25.96,-0.84,240,30,60,45,375,89,6,0,0,0,0,4.0
18,52,WIPE,33,867,96.33,0.0367,2,13.29,187.49,45.29,37.79,-43.21,759,0,21,87,867,0,3,0,0,0,0,4.1
19,39,WIPE,426,474,52.67,0.4733,1,43.287,75.52,13.02,12.92,103.92,399,0,9,66,474,80,4,0,0,0,0,4.2
20,64,WIPE,621,279,31.0,0.69,1,-254.093,-69.21,-377.83,-75.52,-308.93,81,15,9,174,279,0,2,0,0,0,0,4.4
21,63,WIPE,627,273,30.33,0.6967,1,-244.943,-45.84,-326.22,-155.59,-253.02,81,81,66,45,273,50,1,0,0,0,0,4.5
22,66,WIPE,597,303,33.67,0.6633,1,-297.083,-103.94,-446.55,-186.55,-258.15,0,63,18,222,303,70,6,0,0,0,0,4.8
23,31,WIPE,516,384,42.67,0.5733,1,47.867,72.25,72.5,42.0,29.1,237,48,9,90,384,80,1,0,0,0,0,4.9
24,37,WIPE,585,315,35.0,0.65,1,-1.527,9.29,91.34,26.34,-122.26,198,0,51,66,315,80,6,0,0,0,0,5.0
25,40,WIPE,621,279,31.0,0.69,1,-29.323,-69.64,6.31,-57.19,-37.09,159,15,60,45,279,104,3,0,0,0,0,5.1
26,91,WIPE,606,294,32.67,0.6733,1,-250.917,-41.55,-311.0,-353.0,-88.75,0,141,66,87,294,335,1,0,0,0,0,5.3
27,29,WIPE,612,288,32.0,0.68,1,5.753,67.97,47.62,-15.68,-14.68,198,0,0,90,288,0,4,0,0,0,0,5.5
28,37,WIPE,450,450,50.0,0.5,1,51.64,25.44,9.24,127.44,18.24,360,15,30,45,450,178,3,0,0,0,0,5.6
29,47,WIPE,255,645,71.67,0.2833,2,50.64,138.94,79.34,20.34,52.24,516,33,51,45,645,80,2,0,0,0,0,5.8
30,85,WIPE,621,279,31.0,0.69,1,-266.33,-72.88,-384.84,-131.95,-282.2,120,108,9,42,279,70,2,0,0,0,0,6.0
31,75,WIPE,729,171,19.0,0.81,0,-159.437,-29.54,-315.28,-71.28,-91.75,0,96,30,45,171,0,1,0,0,0,0,6.2
32,165,WIPE,675,225,25.0,0.75,0,-588.393,-77.52,-506.54,-1039.84,-218.8,81,60,39,45,225,560,1,0,0,0,0,6.8
33,35,WIPE,519,381,42.33,0.5767,1,-5.607,61.36,-4.14,-22.44,9.76,360,0,0,21,381,0,3,0,0,0,0,6.9
34,38,WIPE,351,549,61.0,0.39,1,15.997,126.23,19.73,27.23,1.03,519,0,30,0,549,30,0,0,0,0,0,7.0
35,43,WIPE,490,410,45.56,0.5444,1,-42.153,3.68,-85.72,30.38,-71.12,282,53,30,45,410,80,5,0,0,0,0,7.1
36,47,WIPE,420,480,53.33,0.4667,1,37.54,48.19,-3.66,152.34,-36.06,240,0,0,240,480,219,4,0,0,0,0,7.3
37,36,WIPE,459,441,49.0,0.51,1,-9.983,60.5,-55.95,58.05,-32.05,360,15,0,66,441,140,3,0,0,0,0,7.4
38,54,WIPE,777,123,13.67,0.8633,0,-174.57,-86.19,-226.18,-124.7,-172.83,81,33,9,0,123,60,3,0,0,0,0,7.6
39,66,WIPE,657,243,27.0,0.73,0,-308.633,-114.41,-483.95,-326.51,-115.44,0,63,69,111,243,0,5,0,0,0,0,7.7
