episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,51,WIPE,960,240,20.0,0.8,0,-200.243,-208.47,-176.17,-205.24,-219.32,81,108,30,21,240,0,3,0,0,0,0,0.9
2,70,WIPE,906,294,24.5,0.755,0,-192.393,-196.6,-184.7,-198.93,-193.55,81,96,9,108,294,60,3,0,0,0,0,1.1
3,52,WIPE,798,402,33.5,0.665,1,-182.793,-163.97,-169.92,-190.89,-187.57,201,114,21,66,402,0,5,0,0,0,1,1.2
4,45,WIPE,702,498,41.5,0.585,1,-187.233,-135.35,-178.7,-193.7,-189.3,399,33,21,45,498,0,3,1,0,0,2,1.3
5,58,WIPE,897,303,25.25,0.7475,0,-193.93,-218.27,-179.57,-200.9,-201.32,0,195,42,66,303,0,3,0,0,0,0,1.5
6,78,WIPE,882,318,26.5,0.735,0,-198.157,-194.19,-209.34,-173.49,-211.64,81,96,51,90,318,228,8,0,0,0,0,1.7
7,64,WIPE,780,420,35.0,0.65,1,-174.783,-163.83,-146.28,-174.89,-203.18,198,180,42,0,420,60,1,0,0,0,1,1.9
8,60,WIPE,687,513,42.75,0.5725,1,-169.31,-166.12,-165.37,-179.14,-163.42,162,129,21,201,513,45,4,0,0,0,1,2.0
9,79,WIPE,434,766,63.83,0.3617,1,-184.87,-148.61,-160.11,-186.94,-207.56,438,180,58,90,766,179,5,0,2,0,2,2.2
10,100,WIPE,960,240,20.0,0.8,0,-174.593,-206.2,-142.15,-164.48,-217.15,0,33,120,87,240,200,2,0,0,0,0,2.5
11,60,WIPE,714,486,40.5,0.595,1,-188.297,-151.95,-172.0,-192.14,-200.75,318,147,21,0,486,60,4,0,0,0,2,2.7
12,37,WIPE,801,399,33.25,0.6675,1,-174.59,-179.3,-155.0,-192.67,-176.1,120,114,9,156,399,0,3,0,0,0,1,2.8
13,47,WIPE,648,552,46.0,0.54,1,-190.127,-153.2,-173.0,-199.18,-198.2,318,147,42,45,552,0,3,0,1,0,1,2.9
14,76,WIPE,870,330,27.5,0.725,0,-182.3,-208.11,-145.51,-199.43,-201.96,0,243,42,45,330,0,1,0,0,0,0,3.1
15,46,WIPE,621,579,48.25,0.5175,1,-199.48,-147.58,-193.33,-189.98,-215.13,438,99,21,21,579,105,5,0,1,0,2,3.3
16,50,WIPE,777,423,35.25,0.6475,1,-188.227,-199.22,-172.92,-195.19,-196.57,81,162,93,87,423,35,3,0,1,0,1,3.4
17,48,WIPE,780,420,35.0,0.65,1,-164.817,-205.82,-145.52,-164.16,-184.77,0,195,135,90,420,95,2,0,0,0,1,3.5
18,43,WIPE,975,225,18.75,0.8125,0,-204.553,-203.84,-190.84,-211.23,-211.59,81,78,0,66,225,0,2,0,0,0,0,3.6
19,54,WIPE,846,354,29.5,0.705,0,-191.963,-201.56,-194.91,-181.57,-199.41,81,147,39,87,354,150,3,0,0,0,0,3.8
20,38,WIPE,666,534,44.5,0.555,1,-176.233,-144.52,-185.12,-167.81,-175.77,324,33,21,156,534,165,3,0,0,0,1,3.9
21,47,WIPE,975,225,18.75,0.8125,0,-216.963,-202.17,-239.22,-201.25,-210.42,81,48,30,66,225,60,3,0,0,0,0,4.0
22,65,WIPE,1005,195,16.25,0.8375,0,-205.2,-213.14,-206.69,-202.32,-206.59,0,60,51,84,195,0,1,0,0,0,0,4.2
23,79,WIPE,840,360,30.0,0.7,1,-165.32,-169.25,-148.8,-172.86,-174.3,81,192,21,66,360,0,5,0,0,0,0,4.4
24,57,WIPE,852,348,29.0,0.71,0,-188.45,-196.31,-186.26,-183.53,-195.56,81,111,21,135,348,170,4,0,0,0,0,4.5
25,71,WIPE,981,219,18.25,0.8175,0,-200.067,-214.18,-195.48,-205.39,-199.33,0,48,63,108,219,0,1,0,0,0,0,4.8
26,50,WIPE,732,468,39.0,0.61,1,-194.337,-164.54,-205.59,-185.13,-192.29,252,63,42,111,468,120,3,0,1,0,1,4.9
27,83,WIPE,825,375,31.25,0.6875,1,-195.177,-180.55,-215.5,-177.93,-192.1,162,0,81,132,375,146,3,0,0,0,2,5.2
28,71,WIPE,888,312,26.0,0.74,0,-189.24,-196.74,-185.29,-177.14,-205.29,120,126,21,45,312,230,2,0,0,0,0,5.4
29,118,WIPE,923,277,23.08,0.7692,0,-173.227,-196.35,-113.6,-180.63,-225.45,106,129,21,21,277,444,4,0,0,0,0,5.8
30,41,WIPE,669,531,44.25,0.5575,1,-195.463,-138.92,-192.17,-186.1,-208.12,402,33,51,45,531,120,3,0,0,0,2,5.9
31,65,WIPE,900,300,25.0,0.75,0,-187.243,-219.87,-149.07,-204.04,-208.62,0,195,39,66,300,0,5,0,0,0,0,6.1
32,43,WIPE,744,456,38.0,0.62,1,-189.63,-169.43,-179.68,-187.03,-202.18,240,99,72,45,456,30,3,0,0,0,2,6.2
33,43,WIPE,749,451,37.58,0.6242,1,-187.387,-190.19,-180.84,-193.58,-187.74,120,129,67,135,451,0,6,0,1,0,1,6.3
34,60,WIPE,765,435,36.25,0.6375,1,-174.523,-155.18,-153.48,-178.76,-191.33,243,114,33,45,435,60,2,0,0,0,1,6.5
35,46,WIPE,735,465,38.75,0.6125,1,-176.013,-155.43,-157.43,-185.13,-185.48,240,129,30,66,465,0,4,0,0,0,1,6.6
36,55,WIPE,762,438,36.5,0.635,1,-165.19,-185.81,-164.36,-156.1,-175.11,81,66,93,198,438,180,2,0,0,0,1,6.7
37,59,WIPE,999,201,16.75,0.8325,0,-198.953,-216.99,-173.24,-221.08,-202.54,0,111,0,90,201,0,2,0,0,0,0,6.9
38,69,WIPE,984,216,18.0,0.82,0,-185.493,-212.19,-160.79,-190.45,-205.24,0,111,39,66,216,200,2,0,0,0,0,7.1
39,76,WIPE,900,300,25.0,0.75,0,-193.143,-197.86,-168.71,-197.01,-213.71,81,174,0,45,300,180,3,0,0,0,0,7.3
40,51,WIPE,354,846,70.5,0.295,2,-335.153,-368.86,-316.21,-340.84,-348.41,531,126,81,108,846,95,7,0,0,0,2,7.4
41,51,WIPE,570,630,52.5,0.475,1,-192.653,-116.46,-187.51,-176.99,-213.46,558,33,39,0,630,180,0,0,1,0,1,7.6
42,87,WIPE,879,321,26.75,0.7325,0,-185.01,-196.54,-162.79,-186.95,-205.29,81,111,18,111,321,205,5,0,0,0,0,7.8
43,67,WIPE,972,228,19.0,0.81,0,-193.467,-215.9,-176.2,-209.8,-194.4,0,96,0,132,228,0,1,0,0,0,0,8.0
44,52,WIPE,924,276,23.0,0.77,0,-194.427,-212.12,-176.92,-207.04,-199.32,0,144,21,111,276,0,2,0,0,0,0,8.1
45,64,WIPE,936,264,22.0,0.78,0,-206.737,-193.09,-205.54,-205.38,-209.29,120,81,21,42,264,0,2,0,0,0,0,8.3
46,72,WIPE,792,408,34.0,0.66,1,-179.327,-181.76,-178.21,-165.46,-194.31,159,48,93,108,408,200,2,0,0,0,2,8.5
47,37,WIPE,513,687,57.25,0.4275,1,-189.113,-123.81,-187.81,-188.32,-191.21,505,98,39,45,687,60,4,0,1,0,1,8.7
48,55,WIPE,876,324,27.0,0.73,0,-188.24,-201.61,-169.41,-192.65,-202.66,81,147,30,66,324,90,2,0,0,0,0,8.8
49,53,WIPE,803,397,33.08,0.6692,1,-187.627,-175.71,-170.26,-186.06,-206.56,226,66,60,45,397,95,4,0,1,0,1,9.0
50,37,WIPE,954,246,20.5,0.795,0,-200.213,-214.04,-189.34,-207.06,-204.24,0,114,21,111,246,0,0,0,0,0,0,9.1
51,63,WIPE,530,670,55.83,0.4417,1,-191.387,-139.99,-190.49,-181.93,-201.74,438,78,67,87,670,110,3,0,1,0,2,9.3
52,62,WIPE,720,480,40.0,0.6,1,-181.327,-163.87,-163.02,-185.49,-195.47,240,99,51,90,480,35,3,0,0,0,2,9.5
53,75,WIPE,768,432,36.0,0.64,1,-187.26,-183.61,-154.41,-182.01,-225.36,198,213,21,0,432,295,1,1,2,0,1,9.7
54,62,WIPE,807,393,32.75,0.6725,1,-173.677,-187.69,-148.54,-171.3,-201.19,81,207,60,45,393,105,1,0,0,0,1,9.9
55,58,WIPE,777,423,35.25,0.6475,1,-186.02,-183.39,-163.59,-185.78,-208.69,198,180,0,45,423,135,0,0,1,0,1,10.1
56,74,WIPE,837,363,30.25,0.6975,1,-180.32,-180.52,-183.37,-181.47,-176.12,81,129,21,132,363,121,3,0,0,0,1,10.2
57,99,WIPE,1092,108,9.0,0.91,0,-210.77,-226.58,-214.33,-202.15,-215.83,0,66,42,0,108,70,2,0,0,0,0,10.5
58,66,WIPE,1032,168,14.0,0.86,0,-188.473,-211.38,-183.38,-175.16,-206.88,0,15,108,45,168,180,2,0,0,0,0,10.7
59,78,WIPE,882,318,26.5,0.735,0,-188.47,-219.35,-151.1,-217.66,-196.65,0,207,0,111,318,0,0,0,0,0,0,10.9
60,53,WIPE,762,438,36.5,0.635,1,-179.663,-140.35,-168.4,-179.44,-191.15,318,66,9,45,438,100,2,0,0,0,1,11.1
61,57,WIPE,840,360,30.0,0.7,1,-171.953,-194.32,-144.57,-183.77,-187.52,81,147,21,111,360,135,3,0,0,0,1,11.2
62,44,WIPE,732,468,39.0,0.61,1,-216.453,-144.74,-226.59,-211.13,-211.64,438,0,9,21,468,60,1,0,0,0,3,11.4
63,69,WIPE,951,249,20.75,0.7925,0,-183.437,-221.8,-158.05,-186.71,-205.55,0,141,63,45,249,120,2,0,0,0,0,11.6
64,75,WIPE,759,441,36.75,0.6325,1,-177.13,-177.47,-148.37,-183.6,-199.42,162,213,0,66,441,150,1,1,1,0,1,11.8
65,71,WIPE,828,372,31.0,0.69,1,-171.873,-183.9,-173.35,-167.62,-174.65,81,63,51,177,372,110,5,0,0,0,1,12.0
66,52,WIPE,906,294,24.5,0.755,0,-198.747,-192.04,-188.29,-204.06,-203.89,162,66,0,66,294,30,2,0,0,0,0,12.2
67,55,WIPE,753,447,37.25,0.6275,1,-189.933,-204.99,-205.89,-179.57,-184.34,81,81,39,246,447,220,4,0,0,0,2,12.3
68,48,WIPE,800,400,33.33,0.6667,1,-176.153,-178.69,-163.49,-170.88,-194.09,81,139,93,87,400,60,4,0,0,0,1,12.5
