episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,90,WIPE,465,435,48.33,0.5167,1,-8.256,128.9,-6.576,51.887,-70.079,279,48,0,108,435,0,1,2,0,0,1,0.9
2,63,WIPE,432,468,52.0,0.48,1,210.686,179.45,253.772,281.926,96.361,282,111,75,0,468,240,0,0,0,0,1,1.0
3,76,VICTORY,0,900,100.0,0.0,2,927.702,756.33,984.203,916.39,882.512,159,144,264,333,900,51,2,0,0,1,0,1.1
4,99,WIPE,315,585,65.0,0.35,2,348.96,336.41,323.017,369.115,354.747,201,63,147,174,585,0,2,0,0,0,1,1.2
5,76,VICTORY,0,900,100.0,0.0,2,956.42,786.43,922.885,1059.932,886.442,258,66,186,390,900,280,2,0,0,0,0,1.3
6,62,VICTORY,0,900,100.0,0.0,2,828.566,808.816,847.097,818.017,820.585,588,0,141,171,900,35,3,0,0,0,0,1.4
7,74,WIPE,321,579,64.33,0.3567,1,32.347,21.54,116.242,33.296,-52.497,198,189,84,108,579,0,0,0,0,0,2,1.5
8,64,VICTORY,0,900,100.0,0.0,2,795.526,781.731,851.974,758.281,776.323,468,0,162,270,900,0,0,0,0,0,0,1.5
9,72,VICTORY,0,900,100.0,0.0,2,812.228,794.91,779.958,847.777,808.949,417,0,180,303,900,142,0,0,0,0,0,1.6
10,61,VICTORY,0,900,100.0,0.0,2,841.508,744.13,896.985,822.223,805.315,243,30,183,444,900,50,0,0,0,0,0,1.7
11,103,VICTORY,0,900,100.0,0.0,2,1010.443,853.79,846.651,1109.868,1074.81,81,60,276,483,900,239,2,0,0,0,0,1.8
12,64,VICTORY,0,900,100.0,0.0,2,888.266,770.72,834.438,918.933,911.427,336,0,153,411,900,0,2,0,0,0,0,1.9
13,300,TIMEOUT,636,264,29.33,0.7067,0,-573.41,9.56,-156.04,-1272.45,-291.74,162,30,30,42,264,170,4,0,0,0,0,2.3
14,64,WIPE,522,378,42.0,0.58,1,74.6,130.2,12.962,126.893,83.944,201,45,66,66,378,33,2,0,0,0,1,2.4
15,67,WIPE,309,591,65.67,0.3433,2,173.707,183.19,205.325,187.569,128.227,240,78,78,195,591,0,0,0,0,0,1,2.5
16,300,TIMEOUT,828,72,8.0,0.92,0,-638.817,2.36,-134.25,-1114.15,-668.05,0,30,0,42,72,235,2,0,0,0,0,3.0
17,60,VICTORY,0,900,100.0,0.0,2,798.248,754.95,823.556,788.658,782.529,336,0,162,402,900,0,1,0,0,0,0,3.1
18,75,VICTORY,0,900,100.0,0.0,2,832.719,727.626,837.227,814.715,846.213,204,30,171,495,900,115,1,0,0,0,0,3.2
19,74,VICTORY,0,900,100.0,0.0,2,804.459,794.681,800.095,831.927,781.354,327,33,141,399,900,35,1,1,0,0,0,3.2
20,93,WIPE,561,339,37.67,0.6233,1,-61.879,12.63,-183.53,-8.786,6.68,0,30,153,156,339,120,0,0,0,0,0,3.4
21,87,VICTORY,0,900,100.0,0.0,2,581.988,34.86,592.897,572.578,580.49,240,78,237,345,900,80,2,0,0,0,0,3.5
22,98,WIPE,6,894,99.33,0.0067,2,685.032,619.856,706.955,656.046,692.095,360,33,228,273,894,80,1,1,0,0,2,3.6
23,58,VICTORY,0,900,100.0,0.0,2,762.793,755.24,758.788,736.902,792.687,333,0,171,396,900,0,1,0,0,0,0,3.6
24,75,VICTORY,0,900,100.0,0.0,2,828.292,632.891,864.411,773.823,846.64,441,66,141,252,900,0,0,1,0,0,0,3.9
25,60,WIPE,483,417,46.33,0.5367,1,155.081,173.95,176.714,164.595,123.933,120,78,84,135,417,80,5,0,0,0,1,3.9
26,71,WIPE,273,627,69.67,0.3033,2,142.849,155.93,153.061,171.328,104.158,240,156,90,141,627,0,1,1,0,0,1,4.0
27,62,VICTORY,0,900,100.0,0.0,2,793.857,783.66,815.905,759.94,805.727,519,15,111,255,900,0,0,0,0,0,0,4.1
28,59,VICTORY,0,900,100.0,0.0,2,825.02,712.17,825.219,810.861,838.979,225,33,153,489,900,50,2,0,0,0,0,4.1
29,72,VICTORY,0,900,100.0,0.0,2,880.838,830.176,876.364,873.781,892.369,471,0,183,246,900,0,2,1,0,0,0,4.2
30,60,WIPE,315,585,65.0,0.35,1,166.443,141.94,250.027,167.947,81.356,201,234,63,87,585,0,1,0,0,0,2,4.3
31,67,VICTORY,0,900,100.0,0.0,2,899.866,802.66,877.694,894.568,927.336,243,35,204,418,900,80,4,0,0,0,0,4.4
32,69,WIPE,354,546,60.67,0.3933,1,137.715,221.68,165.305,113.428,134.412,279,93,21,153,546,30,3,2,0,0,1,4.5
33,76,WIPE,444,456,50.67,0.4933,1,220.53,99.73,161.94,333.204,166.447,162,141,153,0,456,220,2,0,0,0,1,4.6
34,69,WIPE,543,357,39.67,0.6033,1,128.908,188.26,81.346,122.787,182.592,159,48,21,129,357,65,1,0,0,0,0,4.7
35,54,VICTORY,0,900,100.0,0.0,2,759.606,743.12,764.212,754.066,760.541,414,0,117,369,900,30,0,0,0,0,0,4.9
36,150,WIPE,516,384,42.67,0.5733,1,-299.503,-0.4,-381.427,-296.99,-220.09,0,231,63,90,384,381,3,0,0,0,1,5.1
37,63,VICTORY,0,900,100.0,0.0,2,798.259,723.29,762.084,845.978,786.715,369,0,162,369,900,140,2,0,0,0,0,5.2
38,153,WIPE,564,336,37.33,0.6267,1,-302.087,26.92,-134.01,-248.565,-523.685,198,60,78,0,336,290,0,0,0,0,0,5.5
39,73,VICTORY,0,900,100.0,0.0,2,930.046,833.09,880.367,1024.413,885.357,438,33,168,261,900,115,2,0,0,0,0,5.7
40,86,WIPE,552,348,38.67,0.6133,1,175.357,253.15,-20.58,304.614,242.036,0,0,237,111,348,260,5,0,0,0,0,5.8
41,64,VICTORY,0,900,100.0,0.0,2,826.206,769.12,819.395,834.044,825.18,297,15,174,414,900,25,1,0,0,0,0,5.9
42,61,WIPE,327,573,63.67,0.3633,1,127.256,122.92,143.403,139.742,98.624,201,171,72,129,573,80,2,0,0,0,2,5.9
43,139,WIPE,564,336,37.33,0.6267,1,-77.048,196.45,-10.98,-223.244,3.081,0,111,72,153,336,35,0,0,0,0,0,6.2
44,60,VICTORY,0,900,100.0,0.0,2,772.058,785.4,785.166,758.791,772.216,507,0,165,228,900,13,1,0,0,0,0,6.2
45,108,VICTORY,0,900,100.0,0.0,2,741.234,597.096,778.462,649.139,796.101,399,0,174,327,900,166,2,2,0,0,1,6.4
46,62,VICTORY,0,900,100.0,0.0,2,798.436,762.61,799.396,802.681,793.231,372,0,195,333,900,0,0,0,0,0,0,6.4
