episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,41,WIPE,2371,129,5.16,0.9484,0,-209.463,-214.98,-208.63,-210.73,-209.03,0,24,17,88,129,40,2,0,0,0,0,0.9
2,46,WIPE,2279,221,8.84,0.9116,0,-205.797,-204.43,-190.73,-214.28,-212.38,67,120,0,34,221,40,3,0,0,0,0,1.0
3,58,WIPE,2280,220,8.8,0.912,0,-204.347,-209.57,-189.27,-206.45,-217.32,67,105,31,17,220,0,1,0,0,0,0,1.2
4,50,WIPE,2285,215,8.6,0.914,0,-204.853,-209.3,-218.45,-193.91,-202.2,67,39,38,71,215,124,2,0,0,0,0,1.3
5,51,WIPE,1988,512,20.48,0.7952,0,-191.937,-151.81,-178.21,-196.94,-200.66,361,90,24,37,512,0,1,0,0,0,0,1.5
6,47,WIPE,2129,371,14.84,0.8516,0,-196.783,-200.06,-196.81,-201.13,-192.41,67,138,24,142,371,0,5,0,0,0,0,1.6
7,44,WIPE,1782,718,28.72,0.7128,0,-180.83,-139.53,-176.48,-175.83,-190.18,396,183,48,91,718,120,2,0,0,0,0,1.8
8,65,WIPE,1901,599,23.96,0.7604,0,-170.787,-192.31,-161.31,-180.84,-170.21,67,261,55,216,599,60,1,0,0,0,0,2.0
9,47,WIPE,2333,167,6.68,0.9332,0,-197.617,-216.41,-181.06,-199.33,-212.46,0,51,62,54,167,80,0,0,0,0,0,2.1
10,47,WIPE,1860,640,25.6,0.744,0,-182.517,-133.42,-166.07,-183.26,-198.22,457,105,41,37,640,80,1,0,0,0,0,2.3
11,56,WIPE,2037,463,18.52,0.8148,0,-181.133,-179.01,-184.66,-161.28,-197.46,198,78,96,91,463,200,4,0,0,0,0,2.4
12,60,WIPE,2169,331,13.24,0.8676,0,-175.747,-209.82,-173.07,-150.1,-204.07,0,105,175,51,331,280,3,0,0,0,0,2.6
13,73,WIPE,2261,239,9.56,0.9044,0,-195.79,-198.0,-205.4,-180.77,-201.2,67,60,38,74,239,190,2,0,0,0,0,2.8
14,84,WIPE,2062,438,17.52,0.8248,0,-172.55,-178.23,-133.23,-158.44,-225.98,166,156,116,0,438,225,5,0,0,0,0,3.0
15,66,WIPE,2060,440,17.6,0.824,0,-180.183,-182.85,-156.65,-187.75,-196.15,131,156,79,74,440,40,3,0,0,0,0,3.2
16,43,WIPE,2278,222,8.88,0.9112,0,-198.303,-212.89,-197.04,-198.88,-198.99,0,63,31,128,222,40,3,0,0,0,0,3.3
17,69,WIPE,2004,496,19.84,0.8016,0,-201.083,-169.6,-234.7,-180.9,-187.65,230,24,117,125,496,35,3,0,0,0,0,3.5
18,51,WIPE,2025,475,19.0,0.81,0,-188.14,-196.28,-185.93,-193.81,-184.68,67,222,24,162,475,40,3,0,0,0,0,3.7
19,48,WIPE,2072,428,17.12,0.8288,0,-188.733,-175.72,-176.47,-194.96,-194.77,195,90,35,108,428,30,1,0,0,0,0,3.8
20,97,WIPE,2153,347,13.88,0.8612,0,-175.057,-199.6,-164.05,-165.67,-195.45,67,75,83,122,347,290,0,0,0,0,0,4.1
21,57,WIPE,2156,344,13.76,0.8624,0,-190.777,-199.57,-191.57,-173.24,-207.52,67,63,143,71,344,155,5,0,0,0,0,4.3
22,41,WIPE,2108,392,15.68,0.8432,0,-187.227,-200.16,-178.66,-191.51,-191.51,67,129,34,162,392,80,3,0,0,0,0,4.4
23,42,WIPE,2058,442,17.68,0.8232,0,-192.11,-193.47,-210.12,-186.19,-180.02,99,48,96,199,442,70,3,0,0,0,0,4.5
24,51,WIPE,2267,233,9.32,0.9068,0,-210.723,-205.64,-224.39,-198.24,-209.54,67,78,34,54,233,40,3,0,0,0,0,4.6
25,65,WIPE,2234,266,10.64,0.8936,0,-222.297,-191.52,-267.37,-202.2,-197.32,134,0,24,108,266,0,0,0,0,0,0,4.8
26,55,WIPE,1951,549,21.96,0.7804,0,-182.337,-193.21,-193.71,-178.29,-175.01,67,180,86,216,549,75,2,0,0,0,0,4.9
