episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,118,WIPE,636,264,29.33,0.7067,0,-302.157,-11.31,-236.82,-437.37,-232.28,81,93,90,0,264,355,6,0,0,0,0,1.9
2,70,WIPE,564,336,37.33,0.6267,1,-40.903,-39.46,-136.99,9.99,4.29,81,63,60,132,336,0,1,0,0,0,1,2.1
3,60,WIPE,444,456,50.67,0.4933,1,-74.003,51.14,-197.79,-12.61,-11.61,351,0,18,87,456,0,4,0,0,0,1,2.3
4,70,WIPE,627,273,30.33,0.6967,1,-231.757,-12.18,-250.69,-201.79,-242.79,81,81,69,42,273,190,3,0,0,0,0,2.5
5,77,WIPE,699,201,22.33,0.7767,0,-115.08,8.48,-144.6,-42.28,-158.36,81,81,39,0,201,80,4,0,0,0,0,2.9
6,61,WIPE,705,195,21.67,0.7833,0,-95.42,-41.91,-221.4,-11.1,-53.76,0,123,30,42,195,0,2,0,0,0,0,3.0
7,67,WIPE,240,660,73.33,0.2667,2,5.96,116.86,-37.42,49.06,6.24,498,15,72,75,660,70,3,0,0,0,1,3.2
8,74,WIPE,582,318,35.33,0.6467,1,-113.763,13.22,-180.13,-46.86,-114.3,201,33,42,42,318,50,2,0,0,0,1,3.4
9,66,WIPE,651,249,27.67,0.7233,0,-61.863,-14.7,-123.35,-38.99,-23.25,81,63,39,66,249,100,3,0,0,0,0,3.7
10,68,WIPE,618,282,31.33,0.6867,1,-111.317,-9.17,-224.27,15.82,-125.5,120,81,36,45,282,0,3,0,0,0,0,3.9
11,68,WIPE,585,315,35.0,0.65,1,-197.567,-23.71,-197.07,-151.26,-244.37,81,96,72,66,315,100,1,0,0,0,1,4.1
12,78,WIPE,618,282,31.33,0.6867,1,-207.05,-21.68,-237.37,-98.71,-285.07,81,141,60,0,282,80,1,0,0,0,0,4.3
13,78,WIPE,567,333,37.0,0.63,1,-56.94,45.97,-117.97,62.57,-115.42,120,60,21,132,333,75,0,1,0,0,1,4.6
14,66,WIPE,597,303,33.67,0.6633,1,-148.197,7.9,-213.65,-77.37,-153.57,201,15,0,87,303,85,1,0,0,0,1,4.8
15,64,WIPE,576,324,36.0,0.64,1,-14.7,40.05,-39.03,33.2,-38.27,159,33,21,111,324,50,2,0,0,0,2,5.0
16,62,WIPE,600,300,33.33,0.6667,1,21.93,41.35,-55.11,134.65,-13.75,198,30,9,63,300,160,2,0,0,0,2,5.2
17,65,WIPE,545,355,39.44,0.6056,1,-104.747,-35.75,-141.84,-37.36,-135.04,0,148,9,198,355,0,3,0,0,0,0,5.5
18,65,WIPE,582,318,35.33,0.6467,1,-14.077,42.25,-50.04,-18.49,26.3,201,30,21,66,318,0,2,0,0,0,2,5.7
19,85,WIPE,555,345,38.33,0.6167,1,-87.88,54.08,-216.84,36.13,-82.93,219,63,63,0,345,160,1,0,0,0,0,5.9
20,60,WIPE,507,393,43.67,0.5633,1,48.483,50.52,30.01,72.62,42.82,138,15,45,195,393,98,0,0,0,0,1,6.1
21,49,WIPE,348,552,61.33,0.3867,1,-58.957,35.69,-129.78,18.39,-65.48,387,15,18,132,552,0,2,0,1,0,1,6.3
22,79,WIPE,621,279,31.0,0.69,1,-112.587,-2.73,-250.08,-10.2,-77.48,81,78,9,111,279,35,1,0,0,0,0,6.6
23,79,WIPE,231,669,74.33,0.2567,2,-77.4,53.15,-149.38,7.63,-90.45,420,66,30,153,669,0,1,0,1,0,1,6.8
24,67,WIPE,630,270,30.0,0.7,1,-194.913,-22.29,-259.56,-128.24,-196.94,81,63,39,87,270,80,1,0,0,0,1,7.0
25,82,WIPE,522,378,42.0,0.58,1,17.65,16.78,-84.51,167.73,-30.27,219,48,21,90,378,270,1,0,0,0,1,7.4
26,85,WIPE,315,585,65.0,0.35,2,3.26,80.81,-12.04,72.31,-50.49,438,36,0,111,585,160,1,0,0,0,1,7.6
27,61,WIPE,612,288,32.0,0.68,1,-14.207,58.73,-30.4,-16.7,4.48,81,78,66,63,288,0,1,0,0,0,1,7.8
28,64,WIPE,312,588,65.33,0.3467,1,-44.79,96.93,-115.63,3.98,-22.72,540,30,18,0,588,150,1,0,0,0,1,8.0
29,54,WIPE,356,544,60.44,0.3956,1,-14.727,71.54,-15.23,62.54,-91.49,402,133,9,0,544,0,4,0,0,0,1,8.3
30,61,WIPE,519,381,42.33,0.5767,1,-114.543,-43.0,-192.3,-28.15,-123.18,81,159,30,111,381,0,1,0,0,0,1,8.5
31,68,WIPE,336,564,62.67,0.3733,1,5.303,58.2,-30.87,68.49,-21.71,381,108,9,66,564,128,0,0,1,0,2,8.7
32,60,WIPE,186,714,79.33,0.2067,2,95.37,169.55,63.41,153.9,68.8,636,0,24,54,714,85,0,0,0,0,0,8.9
33,61,VICTORY,0,900,100.0,0.0,2,366.697,1145.09,1053.99,30.5,15.6,756,63,51,30,900,80,2,0,0,0,0,9.1
34,54,VICTORY,0,900,100.0,0.0,2,318.643,1153.91,1023.86,-34.78,-33.15,795,0,39,66,900,0,3,0,0,0,0,9.3
35,61,WIPE,465,435,48.33,0.5167,1,-31.633,59.19,-109.3,34.4,-20.0,375,30,9,21,435,80,1,0,0,0,2,9.5
36,64,WIPE,498,402,44.67,0.5533,1,-7.757,63.23,-57.23,31.23,2.73,240,141,21,0,402,80,3,0,0,0,2,9.7
37,85,WIPE,636,264,29.33,0.7067,0,-260.9,-32.08,-284.16,-329.64,-168.9,81,45,9,129,264,35,3,0,0,0,0,9.9
38,56,WIPE,621,279,31.0,0.69,1,-138.207,-30.84,-179.35,-160.89,-74.38,81,93,18,87,279,35,3,0,0,0,0,10.2
39,71,WIPE,621,279,31.0,0.69,1,9.32,-14.23,-58.5,94.49,-8.03,120,30,39,90,279,160,3,0,0,0,0,10.4
40,69,WIPE,495,405,45.0,0.55,1,11.52,93.63,-9.78,56.17,-11.83,240,144,21,0,405,49,0,1,0,0,1,10.6
41,67,WIPE,630,270,30.0,0.7,1,-113.6,-22.18,-140.86,-48.32,-151.62,81,96,72,21,270,160,3,0,0,0,1,10.8
42,53,WIPE,384,516,57.33,0.4267,1,-1.493,80.75,-55.52,33.62,17.42,408,15,48,45,516,160,1,0,0,0,1,11.1
43,61,WIPE,453,447,49.67,0.5033,1,-5.1,77.85,-144.1,111.35,17.45,348,33,21,45,447,80,1,0,0,0,2,11.3
44,57,WIPE,378,522,58.0,0.42,1,-24.767,98.13,-90.26,-10.42,26.38,441,0,60,21,522,145,1,0,0,0,1,11.4
45,65,WIPE,654,246,27.33,0.7267,0,-68.147,23.39,-129.04,-32.15,-43.25,120,96,30,0,246,0,1,0,0,0,0,11.6
46,54,VICTORY,0,900,100.0,0.0,2,1033.793,1166.71,1077.66,1060.06,963.66,807,33,39,21,900,229,1,0,0,0,0,11.8
47,38,VICTORY,0,900,100.0,0.0,2,1068.553,1139.32,1162.12,981.32,1062.22,732,84,21,63,900,0,1,0,0,0,0,12.0
48,68,WIPE,636,264,29.33,0.7067,0,-88.21,-12.84,-184.77,-31.36,-48.5,81,96,21,66,264,0,2,0,0,0,0,12.2
49,72,WIPE,444,456,50.67,0.4933,1,-57.1,29.29,-163.71,94.99,-102.58,294,96,0,66,456,235,2,0,1,0,1,12.4
50,75,WIPE,630,270,30.0,0.7,0,-25.707,54.6,-109.54,8.91,23.51,81,33,69,87,270,0,3,0,0,0,0,12.7
51,91,WIPE,693,207,23.0,0.77,0,-55.18,63.89,-40.47,17.93,-143.0,81,75,51,0,207,65,3,0,0,0,0,12.9
52,85,WIPE,564,336,37.33,0.6267,1,-102.13,19.19,-187.84,-18.99,-99.56,198,48,39,51,336,0,2,0,0,0,0,13.3
53,68,WIPE,579,321,35.67,0.6433,1,-93.643,-4.18,-132.27,-50.13,-98.53,201,45,9,66,321,150,2,0,0,0,1,13.5
54,50,WIPE,582,318,35.33,0.6467,1,-8.64,32.8,-46.69,61.62,-40.85,201,96,21,0,318,30,0,0,0,0,2,13.7
55,76,WIPE,606,294,32.67,0.6733,1,-220.783,-38.21,-313.85,-118.25,-230.25,81,63,42,108,294,225,5,0,0,0,1,13.9
56,48,WIPE,621,279,31.0,0.69,1,-23.633,-7.52,-70.87,0.63,-0.66,81,126,72,0,279,160,1,0,0,0,0,14.2
57,67,WIPE,633,267,29.67,0.7033,0,-175.37,-33.34,-238.69,-44.86,-242.56,81,156,30,0,267,0,0,0,0,0,0,14.4
58,60,WIPE,627,273,30.33,0.6967,1,-158.737,3.71,-110.59,-138.27,-227.35,198,33,42,0,273,0,2,0,0,0,1,14.6
59,77,WIPE,279,621,69.0,0.31,2,76.373,86.99,-16.76,194.74,51.14,423,81,66,51,621,240,2,0,0,0,0,14.8
60,85,WIPE,99,801,89.0,0.11,2,-29.747,143.35,-106.04,32.75,-15.95,726,30,45,0,801,85,3,0,0,0,2,15.1
61,42,VICTORY,0,900,100.0,0.0,2,1031.647,1174.88,1079.48,1007.98,1007.48,828,30,21,21,900,0,2,0,0,0,0,15.4
62,51,WIPE,360,540,60.0,0.4,1,-29.36,57.57,-66.3,29.74,-51.52,420,45,30,45,540,30,1,0,0,0,2,15.6
63,63,WIPE,576,324,36.0,0.64,1,-35.16,1.72,-133.22,52.42,-24.68,198,81,0,45,324,80,1,0,0,0,1,15.7
64,51,VICTORY,0,900,100.0,0.0,2,1102.09,1163.74,1147.39,1148.49,1010.39,843,36,21,0,900,275,0,0,0,0,0,15.9
65,45,VICTORY,0,900,100.0,0.0,2,1051.417,1175.15,1098.15,1049.85,1006.25,824,39,37,0,900,35,1,0,0,0,0,16.0
66,95,VICTORY,0,900,100.0,0.0,2,276.79,156.21,818.45,21.76,-9.84,837,63,0,0,900,0,1,0,0,0,1,16.3
67,54,WIPE,567,333,37.0,0.63,1,-2.437,12.01,-131.03,127.71,-3.99,198,15,54,66,333,225,1,0,0,0,1,16.6
68,80,WIPE,504,396,44.0,0.56,1,-21.703,37.04,-91.99,30.04,-3.16,198,174,24,0,396,120,3,0,0,0,0,16.9
69,54,WIPE,512,388,43.11,0.5689,1,18.21,59.43,-68.93,98.78,24.78,201,48,64,75,388,64,5,0,0,0,1,17.0
70,72,WIPE,623,277,30.78,0.6922,1,-216.79,-31.99,-286.71,-129.53,-234.13,120,48,88,21,277,240,2,0,0,0,1,17.2
71,58,WIPE,624,276,30.67,0.6933,1,47.63,22.68,-5.17,174.33,-26.27,81,93,57,45,276,400,1,0,0,0,0,17.5
72,62,WIPE,591,309,34.33,0.6567,1,5.163,29.93,-47.31,89.6,-26.8,162,30,9,108,309,70,2,1,0,0,1,17.7
73,76,WIPE,153,747,83.0,0.17,2,104.08,172.15,-23.75,289.35,46.64,588,84,75,0,747,241,0,1,0,0,1,17.9
74,75,WIPE,594,306,34.0,0.66,1,-154.68,2.27,-186.74,-117.95,-159.35,201,63,42,0,306,100,0,0,0,0,1,18.2
75,71,WIPE,366,534,59.33,0.4067,1,-58.86,65.36,-189.2,28.26,-15.64,390,60,18,66,534,145,3,0,0,0,2,18.5
76,67,WIPE,381,519,57.67,0.4233,1,27.31,125.05,-29.06,108.69,2.3,387,111,21,0,519,284,3,1,0,0,2,18.7
77,57,WIPE,534,366,40.67,0.5933,1,-29.037,37.84,-125.36,35.36,2.89,159,141,21,45,366,0,2,0,0,0,2,18.9
78,300,TIMEOUT,642,258,28.67,0.7133,0,-445.417,-40.67,-321.92,-978.8,-35.53,120,81,36,21,258,1585,1,0,0,0,0,19.9
79,61,WIPE,507,393,43.67,0.5633,1,-31.29,-2.57,-129.6,87.78,-52.05,258,81,9,45,393,131,3,0,0,0,2,20.3
80,76,WIPE,660,240,26.67,0.7333,0,-180.59,-50.02,-269.53,-79.79,-192.45,81,45,48,66,240,193,0,0,0,0,0,20.5
81,78,WIPE,591,309,34.33,0.6567,1,-279.593,-61.5,-203.44,-288.67,-346.67,81,75,21,132,309,130,1,0,0,0,0,20.7
82,77,WIPE,303,597,66.33,0.3367,2,-26.12,69.03,-88.06,66.43,-56.73,381,48,57,111,597,115,7,0,0,0,0,21.0
83,55,WIPE,558,342,38.0,0.62,1,85.07,99.36,121.96,102.09,31.16,198,135,9,0,342,120,2,1,0,0,1,21.3
84,58,WIPE,444,456,50.67,0.4933,1,15.577,71.61,-82.57,151.84,-22.54,429,0,27,0,456,250,2,0,0,0,2,21.5
85,64,WIPE,525,375,41.67,0.5833,1,-20.36,62.52,-115.63,63.63,-9.08,240,114,0,21,375,46,1,0,0,0,1,21.6
86,300,TIMEOUT,669,231,25.67,0.7433,0,-535.843,-43.2,-203.74,-1213.3,-190.49,0,126,60,45,231,1865,1,0,0,0,0,22.6
87,53,WIPE,336,564,62.67,0.3733,1,-27.767,86.91,-43.02,61.01,-101.29,459,30,30,45,564,150,4,0,0,0,2,23.0
88,68,WIPE,573,327,36.33,0.6367,1,-4.307,-1.82,-17.47,-6.78,11.33,81,132,48,66,327,80,0,0,0,0,0,23.2
89,54,WIPE,396,504,56.0,0.44,1,40.543,97.03,13.97,130.81,-23.15,369,96,39,0,504,45,1,0,0,0,1,23.3
90,78,WIPE,498,402,44.67,0.5533,1,-56.013,39.33,-142.17,42.55,-68.42,201,48,21,132,402,165,2,0,0,0,1,23.5
91,80,WIPE,660,240,26.67,0.7333,0,-86.783,-88.96,-255.19,28.17,-33.33,0,144,51,45,240,195,0,0,0,0,0,23.7
92,65,WIPE,551,349,38.78,0.6122,1,-63.807,-17.99,-119.04,-4.69,-67.69,187,66,66,30,349,195,3,0,0,0,1,24.1
93,63,WIPE,606,294,32.67,0.6733,1,-54.46,37.81,-161.92,50.61,-52.07,240,15,39,0,294,135,0,0,0,0,2,24.2
94,67,WIPE,393,507,56.33,0.4367,1,60.473,4.7,-6.16,186.73,0.85,231,96,27,153,507,208,2,0,0,0,2,24.4
95,61,WIPE,534,366,40.67,0.5933,1,-97.943,-29.05,-178.2,30.61,-146.24,81,33,27,225,366,155,1,0,0,0,0,24.6
96,78,WIPE,585,315,35.0,0.65,1,-154.783,-18.68,-153.07,-73.59,-237.69,81,141,51,42,315,195,1,0,0,0,1,24.9
97,122,WIPE,666,234,26.0,0.74,0,-276.487,-35.49,-289.17,-309.21,-231.08,81,114,39,0,234,430,2,0,0,0,0,25.2
98,66,WIPE,627,273,30.33,0.6967,1,-51.19,-6.89,-109.55,27.49,-71.51,162,33,78,0,273,320,4,0,0,0,2,25.4
99,100,WIPE,603,297,33.0,0.67,1,-238.743,-34.67,-317.79,-100.42,-298.02,120,156,21,0,297,405,0,0,0,0,1,25.8
100,93,WIPE,600,300,33.33,0.6667,1,-286.833,-35.42,-353.12,-336.42,-170.96,81,111,21,87,300,355,2,0,0,0,0,26.1
101,63,WIPE,573,327,36.33,0.6367,1,26.847,-6.38,-24.82,100.87,4.49,81,63,72,111,327,175,2,0,0,0,2,26.3
102,89,WIPE,624,276,30.67,0.6933,1,-259.333,1.77,-277.48,-197.31,-303.21,81,60,48,87,276,478,4,0,0,0,1,26.6
103,68,WIPE,504,396,44.0,0.56,1,-53.073,74.14,-187.97,152.04,-123.29,252,33,21,90,396,300,3,0,0,0,1,26.8
104,161,WIPE,663,237,26.33,0.7367,0,-234.15,75.05,-92.99,-388.2,-221.26,81,96,39,21,237,425,2,0,0,0,0,27.3
105,54,WIPE,537,363,40.33,0.5967,1,0.843,76.04,-78.13,53.67,26.99,291,0,51,21,363,46,1,1,0,0,2,27.5
106,91,WIPE,579,321,35.67,0.6433,1,-158.347,-73.28,-254.3,-3.1,-217.64,81,108,69,63,321,495,0,0,0,0,0,27.8
107,64,WIPE,573,327,36.33,0.6367,1,-6.383,-12.91,-55.73,63.14,-26.56,81,141,42,63,327,149,0,0,0,0,2,27.9
108,61,WIPE,528,372,41.33,0.5867,1,34.417,-25.69,-69.2,235.61,-63.16,120,48,69,135,372,330,1,0,0,0,2,28.1
109,84,WIPE,621,279,31.0,0.69,1,18.217,104.07,-38.33,36.98,56.0,0,237,0,42,279,80,4,0,0,0,0,28.5
110,64,WIPE,405,495,55.0,0.45,1,-40.907,63.74,-103.53,-35.73,16.54,363,48,39,45,495,0,3,0,0,0,1,28.6
111,87,WIPE,615,285,31.67,0.6833,1,-221.983,-19.13,-387.36,-49.51,-229.08,81,93,69,42,285,0,3,0,0,0,0,28.9
112,77,WIPE,315,585,65.0,0.35,2,-29.387,63.76,-80.16,4.64,-12.64,519,45,21,0,585,110,3,0,0,0,0,29.1
113,81,WIPE,486,414,46.0,0.54,1,-27.247,53.22,-112.5,26.32,4.44,198,96,45,75,414,175,2,0,1,0,2,29.4
114,57,WIPE,390,510,56.67,0.4333,1,4.967,78.36,-28.46,-5.65,49.01,249,126,72,63,510,110,5,0,0,0,1,29.6
115,75,WIPE,309,591,65.67,0.3433,2,-68.077,45.94,-164.64,71.39,-110.98,423,96,51,21,591,110,3,0,0,0,1,29.8
116,61,WIPE,681,219,24.33,0.7567,0,-14.55,26.9,-32.44,26.77,-37.98,0,96,60,63,219,75,3,0,0,0,0,30.0
117,50,WIPE,333,567,63.0,0.37,1,-7.17,77.04,-100.99,87.24,-7.76,474,33,30,30,567,195,4,0,0,0,1,30.2
118,65,WIPE,471,429,47.67,0.5233,1,-15.837,48.52,-70.64,119.37,-96.24,351,48,9,21,429,310,2,0,0,0,1,30.4
119,89,WIPE,591,309,34.33,0.6567,1,-147.507,-25.18,-317.18,8.11,-133.45,81,177,30,21,309,80,2,0,0,0,1,30.6
120,93,WIPE,306,594,66.0,0.34,2,-86.877,147.58,-164.62,-62.67,-33.34,519,15,60,0,594,160,1,0,0,0,0,30.9
121,75,WIPE,507,393,43.67,0.5633,1,-54.987,39.46,-151.34,41.99,-55.61,201,63,18,111,393,341,6,0,1,0,2,31.2
122,65,WIPE,615,285,31.67,0.6833,1,-113.253,-16.54,-170.64,7.35,-176.47,120,81,21,63,285,35,0,0,0,0,1,31.4
123,100,WIPE,504,396,44.0,0.56,1,-180.637,-52.26,-245.59,-108.76,-187.56,81,177,51,87,396,350,5,0,0,0,1,31.7
124,84,WIPE,447,453,50.33,0.4967,1,-102.87,20.96,-289.83,63.61,-82.39,351,0,60,42,453,190,2,0,0,0,2,31.9
125,64,WIPE,330,570,63.33,0.3667,1,64.99,91.42,72.57,124.55,-2.15,501,48,0,21,570,115,0,0,0,0,1,32.3
126,74,WIPE,297,603,67.0,0.33,2,-45.51,125.99,-113.13,-13.27,-10.13,441,132,9,21,603,50,2,0,0,0,1,32.5
127,58,WIPE,615,285,31.67,0.6833,1,-19.03,33.49,-99.77,73.99,-31.31,240,15,30,0,285,150,0,0,0,0,1,32.6
128,59,WIPE,336,564,62.67,0.3733,1,-3.843,99.37,-61.48,95.36,-45.41,423,111,9,21,564,244,4,0,0,0,1,32.8
129,70,WIPE,360,540,60.0,0.4,1,-53.077,86.98,-165.39,32.48,-26.32,342,48,21,129,540,85,2,0,0,0,2,33.0
130,85,WIPE,486,414,46.0,0.54,1,-15.013,26.72,-143.64,73.0,25.6,198,144,27,45,414,115,2,0,1,0,0,33.4
131,66,WIPE,357,543,60.33,0.3967,1,-41.873,89.53,-151.75,46.5,-20.37,462,30,30,21,543,13,2,0,0,0,2,33.5
132,51,WIPE,354,546,60.67,0.3933,1,2.53,92.29,-15.6,57.18,-33.99,483,33,30,0,546,100,4,0,1,0,1,33.7
133,46,VICTORY,0,900,100.0,0.0,2,1052.373,1131.49,1050.74,1078.74,1027.64,741,48,18,93,900,105,0,0,0,0,0,33.8
134,80,WIPE,390,510,56.67,0.4333,1,-10.743,83.47,-123.79,61.94,29.62,429,0,60,21,510,145,2,0,0,0,0,34.0
135,99,WIPE,603,297,33.0,0.67,1,-296.737,-33.82,-402.08,-124.66,-363.47,162,96,18,21,297,395,4,0,1,0,1,34.5
136,89,WIPE,308,592,65.78,0.3422,2,-50.467,23.45,-207.28,73.78,-17.9,369,126,55,42,592,190,2,0,1,0,0,34.7
137,66,WIPE,6,894,99.33,0.0067,2,70.813,82.46,42.05,197.34,-26.95,756,15,57,66,894,286,2,0,0,0,0,34.9
138,81,WIPE,561,339,37.67,0.6233,1,-198.46,6.29,-336.3,-41.29,-217.79,198,63,57,21,339,475,4,0,0,0,1,35.1
139,71,WIPE,315,585,65.0,0.35,2,-41.033,35.6,-145.5,76.4,-54.0,498,15,30,42,585,350,0,0,0,0,1,35.4
140,90,WIPE,573,327,36.33,0.6367,1,-131.223,-2.35,-138.59,-107.49,-147.59,159,75,72,21,327,151,2,0,0,0,2,35.7
141,58,WIPE,558,342,38.0,0.62,1,-26.91,-14.69,-104.47,98.41,-74.67,120,81,99,42,342,300,3,0,0,0,1,35.9
142,68,WIPE,426,474,52.67,0.4733,1,32.363,49.34,-67.47,145.52,19.04,390,45,39,0,474,190,4,0,1,0,1,36.0
143,80,WIPE,306,594,66.0,0.34,2,-49.037,79.35,-197.19,77.23,-27.15,408,144,21,21,594,181,0,0,1,0,1,36.4
144,83,WIPE,150,750,83.33,0.1667,2,10.68,125.28,-114.02,67.58,78.48,582,78,18,72,750,228,4,0,0,0,2,36.6
145,69,WIPE,303,597,66.33,0.3367,2,-58.247,90.41,-141.48,51.86,-85.12,495,15,42,45,597,110,2,0,0,0,1,36.8
146,76,WIPE,458,442,49.11,0.5089,1,46.07,60.27,-13.95,194.27,-42.11,106,120,87,129,442,550,4,0,0,0,2,37.0
147,77,WIPE,303,597,66.33,0.3367,2,45.033,46.98,31.84,85.65,17.61,402,105,30,60,597,141,2,0,1,0,1,37.4
148,56,WIPE,543,357,39.67,0.6033,1,27.253,41.87,-21.75,79.19,24.32,279,48,9,21,357,135,3,0,0,0,2,37.5
149,86,WIPE,423,477,53.0,0.47,1,27.047,2.58,-121.65,177.03,25.76,387,30,39,21,477,485,1,1,0,0,2,37.8
150,81,WIPE,636,264,29.33,0.7067,0,-184.73,-45.94,-295.7,-1.29,-257.2,81,81,57,45,264,435,0,0,0,0,0,38.0
151,49,WIPE,534,366,40.67,0.5933,1,-30.273,37.91,-83.08,8.23,-15.97,237,108,0,21,366,50,0,0,0,0,2,38.3
152,78,WIPE,300,600,66.67,0.3333,2,-17.253,46.27,-60.77,104.42,-95.41,345,114,9,132,600,326,5,0,0,0,1,38.5
153,57,WIPE,462,438,48.67,0.5133,1,7.467,50.16,-40.66,72.88,-9.82,336,60,0,42,438,195,4,0,0,0,1,38.6
154,81,WIPE,600,300,33.33,0.6667,1,13.987,-9.22,-98.4,162.68,-22.32,198,15,87,0,300,435,2,0,0,0,2,38.9
155,64,WIPE,561,339,37.67,0.6233,1,-10.457,46.01,-19.63,28.57,-40.31,198,78,0,63,339,35,0,0,0,0,2,39.2
156,49,WIPE,528,372,41.33,0.5867,1,-27.827,67.74,-89.58,98.74,-92.64,282,81,9,0,372,200,0,0,0,0,1,39.3
157,87,WIPE,486,414,46.0,0.54,1,-218.913,-15.52,-232.66,-136.69,-287.39,81,126,57,150,414,515,1,0,0,0,1,39.5
