episode,steps,avg_reward,avg_length,win_rate_a,wins_a,wins_b,draws,fps,avg_tank_dist,tank_policy_type
750,595728,-882.4200,199.84,19.20,144,606,0,530.42,10.01,G381_M108_C261
760,603728,-787.5917,199.84,19.21,146,614,0,530.56,9.51,G387_M108_C265
770,611728,-710.4507,199.84,19.35,149,621,0,530.46,9.25,G394_M108_C268
780,619692,-622.0084,199.75,19.10,149,631,0,530.46,9.02,G400_M108_C272
790,627508,-629.5344,199.29,18.86,149,641,0,530.39,8.99,G406_M112_C272
800,635504,-601.6467,199.28,18.88,151,649,0,530.86,8.81,G411_M112_C277
810,643504,-564.5335,199.28,19.01,154,656,0,530.45,8.74,G414_M114_C282
820,651504,-537.0059,199.28,19.02,156,664,0,529.84,8.67,G419_M116_C285
830,659504,-489.9021,199.44,19.16,159,671,0,529.85,8.47,G424_M119_C287
840,667504,-447.1559,199.44,19.40,163,677,0,529.97,8.10,G426_M121_C293
850,674928,-423.9792,198.00,19.53,166,684,0,530.13,7.81,G431_M123_C296
860,682928,-497.5327,198.00,19.30,166,694,0,530.40,8.17,G435_M124_C301
870,690812,-558.1793,197.71,19.20,167,703,0,530.85,8.34,G440_M124_C306
880,698812,-558.1890,197.80,19.09,168,712,0,531.12,8.44,G446_M126_C308
890,706812,-583.4202,198.26,19.10,170,720,0,531.23,8.52,G453_M126_C311
900,714812,-620.8254,198.27,18.89,170,730,0,530.99,8.62,G459_M127_C314
910,722812,-590.7509,198.27,18.68,170,740,0,531.23,8.51,G465_M128_C317
920,730812,-598.3906,198.27,18.70,172,748,0,531.61,8.49,G470_M128_C322
930,738736,-631.7652,198.08,18.49,172,758,0,531.67,8.57,G475_M131_C324
940,746736,-664.6925,198.08,18.40,173,767,0,532.11,8.78,G482_M131_C327
950,754628,-693.8792,199.25,18.32,174,776,0,532.47,8.93,G487_M132_C331
960,762628,-645.8400,199.25,18.23,175,785,0,532.88,8.66,G493_M133_C334
970,770628,-617.3663,199.54,18.14,176,794,0,532.91,8.54,G496_M135_C339
980,778628,-571.4084,199.54,18.37,180,800,0,532.24,8.29,G499_M137_C344
990,786628,-577.5561,199.54,18.28,181,809,0,531.89,8.33,G503_M139_C348
1000,794628,-663.7331,199.54,18.30,183,817,0,531.84,8.59,G508_M140_C352
1010,802500,-655.0085,199.22,18.71,189,821,0,531.40,8.55,G512_M141_C357
1020,810404,-641.5477,198.98,18.82,192,828,0,530.98,8.45,G517_M143_C360
1030,818344,-614.4934,199.02,19.13,197,833,0,530.48,8.43,G518_M145_C367
1040,826144,-587.2656,198.52,19.52,203,837,0,530.24,8.22,G521_M148_C371
1050,834144,-540.8005,198.79,19.43,204,846,0,530.19,8.04,G524_M151_C375
1060,842144,-504.8185,198.79,19.53,207,853,0,529.97,7.81,G529_M152_C379
1070,850144,-439.8593,198.79,19.44,208,862,0,530.17,7.53,G531_M153_C386
1080,857852,-475.6121,198.06,19.54,211,869,0,530.28,7.63,G536_M155_C389
1090,865852,-483.7109,198.06,19.54,213,877,0,530.49,7.68,G543_M155_C392
1100,873780,-420.5603,197.88,19.45,214,886,0,530.52,7.66,G549_M158_C393
1110,881436,-447.5428,197.34,19.46,216,894,0,530.79,7.77,G552_M159_C399
1120,889436,-483.3879,197.58,19.29,216,904,0,531.14,7.85,G559_M160_C401
1130,897416,-582.5073,197.68,19.20,217,913,0,530.81,8.20,G562_M164_C404
1140,905360,-573.8566,198.04,19.12,218,922,0,530.61,8.33,G567_M165_C408
1150,913064,-605.8686,197.30,19.04,219,931,0,530.54,8.44,G572_M168_C410
1160,921064,-629.7316,197.30,19.14,222,938,0,530.68,8.63,G577_M170_C413
1170,928988,-687.4841,197.11,18.97,222,948,0,530.94,8.91,G583_M171_C416
1180,936824,-659.0212,197.43,18.98,224,956,0,531.24,8.90,G590_M171_C419
1190,944824,-679.4272,197.43,18.82,224,966,0,531.52,8.96,G594_M172_C424
1200,952824,-688.0610,197.61,18.83,226,974,0,531.92,8.81,G602_M172_C426
1210,960824,-719.3631,198.47,18.76,227,983,0,531.91,8.90,G607_M174_C429
1220,968360,-691.4233,197.31,18.77,229,991,0,531.66,8.88,G612_M175_C433
1230,976360,-638.2320,197.36,18.78,231,999,0,531.30,8.69,G618_M177_C435
1240,983988,-665.7589,196.57,18.71,232,1008,0,531.20,8.77,G622_M179_C439
1250,991988,-670.3056,197.31,18.72,234,1016,0,531.07,8.75,G629_M180_C441
1260,999988,-667.0470,197.31,18.57,234,1026,0,530.89,8.74,G633_M181_C446
1270,1007980,-679.0801,197.48,18.74,238,1032,0,530.98,8.74,G639_M182_C449
1280,1015980,-739.8451,197.89,18.67,239,1041,0,531.09,9.05,G645_M184_C451
1290,1023980,-814.4441,197.89,18.76,242,1048,0,531.01,9.39,G650_M186_C454
1300,1031980,-894.9624,197.89,18.69,243,1057,0,530.74,9.70,G656_M187_C457
1310,1039980,-933.7502,197.89,18.63,244,1066,0,530.72,9.92,G661_M188_C461
1320,1047916,-977.1458,198.89,18.56,245,1075,0,530.64,10.10,G664_M192_C464
1330,1055916,-975.5252,198.89,18.57,247,1083,0,530.75,10.11,G669_M194_C467
1340,1063916,-1024.1136,199.82,18.58,249,1091,0,530.89,10.28,G676_M195_C469
1350,1071728,-984.7412,199.35,18.52,250,1100,0,531.01,10.15,G680_M198_C472
1360,1079728,-944.2264,199.35,18.60,253,1107,0,531.36,9.98,G683_M198_C479
1370,1087552,-900.8536,198.93,18.76,257,1113,0,531.50,9.80,G686_M199_C485
1380,1095472,-853.1815,198.73,18.91,261,1119,0,531.33,9.40,G689_M201_C490
1390,1103472,-727.0963,198.73,19.14,266,1124,0,531.23,8.90,G691_M204_C495
1400,1111472,-562.6762,198.73,19.21,269,1130,1,531.34,8.32,G696_M206_C498
1410,1119472,-553.6307,198.73,19.43,274,1135,1,531.51,8.25,G700_M207_C503
1420,1127240,-493.8144,198.31,19.58,278,1141,1,531.66,7.96,G704_M209_C507
1430,1135116,-459.3081,198.00,19.65,281,1148,1,531.77,7.76,G708_M212_C510
1440,1143080,-340.6930,197.91,19.86,286,1153,1,531.98,7.28,G714_M214_C512
1450,1151080,-382.5559,198.38,20.07,291,1158,1,532.16,7.41,G721_M215_C514
1460,1159080,-419.0559,198.38,20.14,294,1165,1,531.68,7.51,G725_M217_C518
1470,1166900,-425.7643,198.37,20.48,301,1168,1,531.43,7.59,G730_M218_C522
1480,1174900,-370.2514,198.57,20.54,304,1175,1,531.33,7.50,G736_M220_C524
1490,1182900,-381.9599,198.57,20.54,306,1183,1,531.36,7.44,G742_M220_C528
1500,1190900,-442.5681,198.57,20.67,310,1189,1,531.17,7.59,G748_M221_C531
1510,1198748,-372.8159,198.19,20.66,312,1197,1,531.21,7.38,G755_M221_C534
1520,1206632,-379.9577,198.48,20.79,316,1202,2,531.25,7.50,G759_M224_C537
1530,1214632,-372.2356,198.79,21.05,322,1206,2,531.27,7.42,G764_M225_C541
1540,1222632,-338.8808,198.88,21.30,328,1210,2,531.09,7.32,G771_M226_C543
1550,1230480,-231.3316,198.50,21.68,336,1212,2,531.04,7.01,G778_M227_C545
1560,1238480,-250.3104,198.50,21.67,338,1220,2,531.22,7.15,G784_M227_C549
1570,1246220,-244.2796,198.30,21.85,343,1225,2,531.18,7.00,G786_M231_C553
1580,1253988,-269.8966,197.72,22.03,348,1230,2,531.24,7.01,G789_M233_C558
1590,1261988,-264.2688,197.72,22.01,350,1238,2,531.39,7.14,G796_M234_C560
1600,1269988,-257.6694,197.72,22.12,354,1244,2,531.62,7.13,G802_M235_C563
