episode,steps,result,boss_hp_remaining,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_tank,damage_healer,damage_support,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
46,13,TIMEOUT,5000,1.0,0,-50.14,-71.67,-54.52,-43.03,-52.87,0,0,0,40,0,0,0,0,0,4.7
47,23,TIMEOUT,4800,0.96,0,-63.267,-45.17,-53.92,-64.86,-71.02,0,0,15,40,3,0,0,0,0,4.8
48,38,TIMEOUT,4444,0.8888,0,-57.5,2.68,-62.97,-41.81,-67.72,35,20,15,40,5,0,0,0,0,4.9
49,36,TIMEOUT,4480,0.896,0,-57.833,1.18,-58.32,-70.41,-44.77,0,0,35,0,9,0,0,0,0,5.0
50,25,TIMEOUT,4485,0.897,0,-62.57,2.53,-69.02,-65.82,-52.87,0,20,0,0,3,0,0,0,0,5.1
51,21,TIMEOUT,5000,1.0,0,-59.937,-70.67,-57.07,-72.22,-50.52,0,0,0,0,5,0,0,0,0,5.1
52,16,TIMEOUT,4735,0.947,0,-46.043,-35.07,-43.62,-44.34,-50.17,0,15,0,40,4,0,0,0,0,5.2
53,17,TIMEOUT,5000,1.0,0,-65.227,-71.57,-53.52,-71.19,-70.97,0,0,0,0,3,0,0,0,0,5.2
54,10,TIMEOUT,5000,1.0,0,-54.887,-72.12,-57.67,-52.62,-54.37,0,0,0,0,2,0,0,0,0,5.2
55,26,TIMEOUT,4682,0.9364,0,-68.03,-24.77,-63.97,-68.0,-72.12,0,8,0,0,2,0,0,0,0,5.3
56,22,TIMEOUT,4905,0.981,0,-60.287,-58.12,-61.47,-69.97,-49.42,0,0,0,0,6,0,0,0,0,5.4
57,38,WIPE,4345,0.869,0,-218.32,-126.62,-209.67,-224.02,-221.27,35,0,0,0,7,0,0,0,0,5.5
58,38,TIMEOUT,4985,0.997,0,-55.85,-70.62,-53.02,-62.16,-52.37,0,15,0,40,3,0,0,0,0,5.6
59,22,TIMEOUT,4657,0.9314,0,-51.76,-23.87,-40.67,-68.69,-45.92,10,8,15,0,4,0,0,0,0,5.6
60,35,TIMEOUT,4844,0.9688,0,-64.193,-48.02,-71.27,-69.04,-52.27,0,0,0,0,6,0,0,0,0,5.7
61,30,TIMEOUT,4905,0.981,0,-67.907,-57.37,-65.47,-69.48,-68.77,0,0,0,0,4,0,0,0,0,5.8
62,29,TIMEOUT,4870,0.974,0,-58.53,-52.97,-64.02,-41.55,-70.02,0,5,0,40,3,0,0,0,0,5.9
63,21,TIMEOUT,4765,0.953,0,-59.777,-46.42,-54.47,-59.09,-65.77,0,0,50,80,2,0,0,0,0,6.0
64,21,TIMEOUT,4449,0.8898,0,-46.063,2.33,-45.97,-43.25,-48.97,25,0,30,40,3,0,0,0,0,6.0
65,25,TIMEOUT,5000,1.0,0,-58.62,-70.72,-58.57,-46.12,-71.17,0,0,0,40,2,0,0,0,0,6.1
66,22,TIMEOUT,4815,0.963,0,-54.697,-44.12,-45.42,-69.6,-49.07,0,0,0,0,2,0,0,0,0,6.2
67,34,TIMEOUT,4450,0.89,0,-56.93,9.88,-70.47,-48.85,-51.47,10,5,0,0,1,0,0,0,0,6.3
68,42,TIMEOUT,4535,0.907,0,-65.84,-0.12,-74.22,-52.08,-71.22,0,0,0,0,4,0,0,0,0,6.4
69,36,TIMEOUT,4625,0.925,0,-59.033,-11.87,-60.72,-69.81,-46.57,0,0,0,0,3,0,0,0,0,6.5
70,17,TIMEOUT,4935,0.987,0,-47.75,-61.32,-43.67,-49.66,-49.92,0,0,0,0,1,0,0,0,0,6.5
71,19,TIMEOUT,5000,1.0,0,-63.107,-70.47,-48.17,-69.28,-71.87,0,0,0,0,2,0,0,0,0,6.6
72,24,TIMEOUT,5000,1.0,0,-53.813,-72.62,-46.27,-42.05,-73.12,0,0,0,40,4,0,0,0,0,6.6
73,14,TIMEOUT,5000,1.0,0,-51.363,-70.97,-51.97,-52.3,-49.82,0,0,0,0,3,0,0,0,0,6.7
