episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,309,WIPE,1488,312,17.33,0.8267,0,-804.713,-54.61,-505.6,-1194.51,-714.03,81,126,18,87,312,220,3,0,0,0,0,1.3
2,347,WIPE,1329,471,26.17,0.7383,0,-645.413,7.72,-398.43,-435.69,-1102.12,240,63,78,90,471,275,3,0,0,0,0,1.9
3,197,VICTORY,0,1800,100.0,0.0,2,602.017,8.01,618.863,710.954,476.234,279,363,408,750,1800,344,3,3,1,2,0,2.2
4,500,TIMEOUT,1317,483,26.83,0.7317,0,-1102.633,-78.21,-387.01,-2350.8,-570.09,81,81,78,243,483,504,5,0,0,0,0,2.9
5,218,WIPE,1411,389,21.61,0.7839,0,-643.18,-45.82,-528.59,-787.54,-613.41,120,98,39,132,389,315,6,0,0,0,0,3.3
6,500,TIMEOUT,1338,462,25.67,0.7433,0,-1386.333,-13.38,-721.95,-1282.1,-2154.95,162,174,39,87,462,565,5,0,0,0,0,4.4
7,145,VICTORY,0,1800,100.0,0.0,2,641.433,-38.77,610.299,709.765,604.234,201,266,373,960,1800,230,4,0,1,1,0,4.7
8,500,TIMEOUT,1518,282,15.67,0.8433,0,-1442.587,-28.07,-377.03,-2024.95,-1925.78,81,81,30,90,282,475,4,0,0,0,0,5.7
9,200,VICTORY,0,1800,100.0,0.0,2,668.756,297.47,513.013,710.528,782.726,357,318,384,741,1800,441,1,1,0,1,0,6.0
10,183,VICTORY,0,1800,100.0,0.0,2,435.719,-48.92,230.201,758.001,318.954,162,378,501,759,1800,435,1,2,0,1,0,6.4
11,315,WIPE,1620,180,10.0,0.9,0,-999.723,-43.19,-603.28,-1186.93,-1208.96,81,48,30,21,180,445,3,0,0,0,0,7.0
12,142,WIPE,1305,495,27.5,0.725,0,-280.787,-72.45,-436.92,-101.22,-304.22,81,111,105,198,495,240,6,0,0,0,0,7.2
13,181,WIPE,537,1263,70.17,0.2983,2,87.835,23.38,-65.624,238.359,90.77,360,180,324,399,1263,195,3,2,0,0,2,7.5
14,135,WIPE,195,1605,89.17,0.1083,2,747.806,731.332,730.444,791.73,721.244,639,174,285,507,1605,30,1,0,0,1,1,7.8
15,500,TIMEOUT,1437,363,20.17,0.7983,0,-1654.413,-46.85,-1278.95,-2168.8,-1515.49,81,204,78,0,363,960,2,0,0,0,0,8.9
16,241,WIPE,1413,387,21.5,0.785,0,-718.277,-64.28,-441.11,-595.77,-1117.95,162,81,144,0,387,526,5,0,0,0,0,9.4
17,119,WIPE,840,960,53.33,0.4667,1,84.099,246.77,111.741,-36.0,176.557,363,159,18,420,960,0,1,1,0,0,2,9.6
18,232,VICTORY,0,1800,100.0,0.0,2,32.808,98.4,69.941,-88.375,116.857,318,331,207,944,1800,175,5,1,0,1,1,10.0
19,273,WIPE,1380,420,23.33,0.7667,0,-550.397,-35.18,-324.48,-778.79,-547.92,120,63,84,153,420,670,4,0,0,0,0,10.4
