episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,70,WIPE,939,261,21.75,0.7825,0,-180.53,-214.98,-156.63,-182.63,-202.33,0,144,30,87,261,275,1,0,0,0,0,0.9
2,67,WIPE,941,259,21.58,0.7842,0,-196.77,-209.86,-187.76,-199.19,-203.36,0,144,49,66,259,0,2,0,0,0,0,1.1
3,58,WIPE,855,345,28.75,0.7125,0,-183.213,-220.97,-162.17,-184.35,-203.12,0,147,111,87,345,65,2,0,0,0,0,1.3
4,49,WIPE,774,426,35.5,0.645,1,-185.417,-189.93,-169.13,-188.44,-198.68,120,147,69,90,426,80,0,0,1,0,1,1.4
5,59,WIPE,735,465,38.75,0.6125,1,-176.087,-183.15,-160.1,-191.11,-177.05,120,129,42,174,465,0,4,0,0,0,2,1.6
6,81,WIPE,711,489,40.75,0.5925,1,-141.18,-174.72,-101.22,-155.25,-167.07,0,306,93,90,489,50,3,0,0,0,0,1.8
7,51,WIPE,732,468,39.0,0.61,1,-208.383,-161.05,-232.1,-175.05,-218.0,321,0,81,66,468,190,0,0,0,0,3,2.0
8,60,WIPE,381,819,68.25,0.3175,2,-133.077,-87.8,-118.1,-121.58,-159.55,477,159,72,111,819,220,1,0,1,0,0,2.1
9,55,WIPE,813,387,32.25,0.6775,1,-161.627,-191.05,-165.6,-125.73,-193.55,0,141,180,66,387,305,6,0,0,0,1,2.3
10,56,WIPE,951,249,20.75,0.7925,0,-182.25,-220.45,-164.9,-172.9,-208.95,0,162,21,66,249,210,2,0,0,0,0,2.4
11,36,WIPE,842,358,29.83,0.7017,0,-185.43,-210.78,-181.28,-186.78,-188.23,0,111,49,198,358,75,1,0,0,0,0,2.5
12,78,WIPE,837,363,30.25,0.6975,1,-157.543,-169.29,-139.84,-151.35,-181.44,81,132,84,66,363,105,0,0,0,0,0,2.7
13,41,WIPE,279,921,76.75,0.2325,2,-133.22,-76.39,-144.94,-116.33,-138.39,555,81,105,180,921,195,1,0,1,0,0,2.8
14,49,WIPE,577,623,51.92,0.4808,1,-148.027,-143.7,-125.8,-145.48,-172.8,279,215,63,66,623,160,2,2,0,0,2,2.9
15,45,WIPE,744,456,38.0,0.62,1,-226.39,-166.44,-230.79,-216.84,-231.54,399,15,21,21,456,125,2,0,2,0,2,3.1
16,71,WIPE,858,342,28.5,0.715,0,-190.367,-199.75,-186.7,-189.3,-195.1,81,129,21,111,342,80,2,0,0,0,0,3.3
17,54,WIPE,537,663,55.25,0.4475,1,-172.95,-138.25,-172.45,-164.35,-182.05,360,99,51,153,663,160,4,0,0,0,2,3.4
18,45,WIPE,756,444,37.0,0.63,1,-207.373,-161.97,-209.12,-206.03,-206.97,318,81,0,45,444,0,1,0,1,0,1,3.5
19,59,WIPE,720,480,40.0,0.6,1,-145.167,-183.9,-142.75,-153.45,-139.3,0,132,78,270,480,50,2,0,0,0,0,3.7
20,48,WIPE,675,525,43.75,0.5625,1,-187.943,-141.79,-180.24,-181.85,-201.74,360,81,39,45,525,145,2,0,0,0,2,3.8
21,72,WIPE,840,360,30.0,0.7,1,-164.607,-188.22,-136.82,-173.08,-183.92,81,162,30,87,360,80,4,0,0,0,1,4.0
22,53,WIPE,926,274,22.83,0.7717,0,-194.877,-216.08,-185.93,-188.22,-210.48,0,169,60,45,274,80,5,0,0,0,0,4.1
23,56,WIPE,546,654,54.5,0.455,1,-171.92,-182.23,-162.13,-172.1,-181.53,240,144,30,240,654,230,2,0,1,0,2,4.3
24,34,WIPE,681,519,43.25,0.5675,1,-194.563,-137.76,-199.86,-188.27,-195.56,399,33,42,45,519,65,1,0,0,0,2,4.4
25,55,WIPE,376,824,68.67,0.3133,2,-179.897,-78.38,-129.78,-234.88,-175.03,597,152,30,45,824,135,3,0,1,0,1,4.6
26,57,WIPE,870,330,27.5,0.725,0,-185.657,-217.22,-165.52,-200.98,-190.47,0,144,51,135,330,0,1,0,0,0,0,4.7
27,60,WIPE,705,495,41.25,0.5875,1,-193.087,-175.61,-186.56,-187.39,-205.31,240,126,63,66,495,145,3,0,0,0,3,4.9
28,53,WIPE,693,507,42.25,0.5775,1,-183.157,-224.47,-156.37,-205.93,-187.17,0,225,60,222,507,13,4,0,1,0,2,5.0
29,40,WIPE,671,529,44.08,0.5592,1,-196.953,-131.51,-206.01,-184.49,-200.36,424,0,39,66,529,45,3,0,0,0,2,5.2
30,49,WIPE,486,714,59.5,0.405,1,-185.95,-118.12,-192.17,-170.46,-195.22,558,66,45,45,714,130,1,0,1,0,1,5.3
31,72,WIPE,258,942,78.5,0.215,2,-116.48,-32.29,-104.34,-98.76,-146.34,720,114,42,66,942,275,0,1,0,0,1,5.5
32,43,WIPE,1059,141,11.75,0.8825,0,-204.387,-214.34,-189.19,-205.78,-218.19,0,81,60,0,141,0,1,0,0,0,0,5.6
33,76,WIPE,774,426,35.5,0.645,1,-166.157,-177.71,-139.51,-175.05,-183.91,81,219,39,87,426,65,6,0,0,0,1,5.8
34,59,WIPE,606,594,49.5,0.505,1,-192.58,-164.08,-185.18,-187.38,-205.18,321,48,93,132,594,80,5,0,1,0,2,5.9
35,45,WIPE,675,525,43.75,0.5625,1,-204.99,-154.17,-202.52,-197.78,-214.67,357,147,21,0,525,53,1,0,0,0,3,6.1
36,53,WIPE,984,216,18.0,0.82,0,-200.373,-213.71,-187.76,-205.7,-207.66,0,129,42,45,216,0,2,0,0,0,0,6.2
37,51,WIPE,786,414,34.5,0.655,1,-185.883,-156.53,-172.78,-186.29,-198.58,240,111,21,42,414,0,3,0,0,0,1,6.4
38,59,WIPE,879,321,26.75,0.7325,0,-174.323,-213.97,-166.97,-150.78,-205.22,0,96,114,111,321,385,3,0,0,0,0,6.5
39,83,WIPE,903,297,24.75,0.7525,0,-180.8,-204.43,-153.08,-166.34,-222.98,120,81,51,45,297,290,5,0,0,0,0,6.7
40,60,WIPE,57,1143,95.25,0.0475,2,-93.59,-26.03,-112.23,-68.06,-100.48,720,96,81,246,1143,370,4,1,1,0,0,6.9
