episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,44,WIPE,363,537,59.67,0.4033,1,-169.71,-122.09,-196.89,-156.25,-155.99,321,0,39,177,537,205,5,1,1,0,2,0.9
2,75,WIPE,543,357,39.67,0.6033,1,-154.123,-190.52,-136.27,-157.53,-168.57,81,81,63,132,357,139,4,0,1,0,1,1.0
3,42,WIPE,482,418,46.44,0.5356,1,-193.11,-145.16,-188.56,-210.66,-180.11,240,58,9,111,418,0,6,0,1,0,2,1.2
4,33,WIPE,461,439,48.78,0.5122,1,-175.3,-149.67,-163.52,-187.51,-174.87,187,111,51,90,439,0,3,0,0,0,2,1.3
5,52,WIPE,537,363,40.33,0.5967,1,-181.22,-149.88,-178.23,-171.55,-193.88,201,48,69,45,363,110,5,0,1,0,1,1.4
6,66,WIPE,527,373,41.44,0.5856,1,-161.03,-174.43,-143.48,-152.43,-187.18,81,156,70,66,373,160,4,0,0,0,2,1.6
7,42,WIPE,447,453,50.33,0.4967,1,-171.96,-141.23,-160.13,-188.22,-167.53,240,63,42,108,453,12,4,0,0,0,2,1.7
8,47,WIPE,402,498,55.33,0.4467,1,-168.52,-118.58,-151.88,-176.15,-177.53,282,129,21,66,498,80,5,0,0,0,2,1.8
9,71,WIPE,573,327,36.33,0.6367,1,-155.957,-165.56,-131.41,-165.0,-171.46,120,96,21,90,327,80,5,0,0,0,1,2.0
10,47,WIPE,573,327,36.33,0.6367,1,-157.693,-198.9,-144.0,-158.93,-170.15,0,147,90,90,327,85,4,0,0,0,1,2.2
11,43,WIPE,264,636,70.67,0.2933,2,-113.083,-24.72,-102.72,-122.46,-114.07,438,48,39,111,636,0,3,0,0,0,0,2.3
12,57,WIPE,464,436,48.44,0.5156,1,-148.873,-163.0,-115.65,-145.67,-185.3,81,274,81,0,436,139,8,0,0,0,1,2.4
13,45,WIPE,549,351,39.0,0.61,1,-193.877,-158.51,-204.61,-197.51,-179.51,198,33,9,111,351,0,5,0,1,0,1,2.5
14,59,WIPE,588,312,34.67,0.6533,1,-173.443,-181.32,-177.02,-166.29,-177.02,81,33,42,156,312,215,8,0,0,0,2,2.7
15,48,WIPE,486,414,46.0,0.54,1,-166.097,-167.13,-160.53,-171.38,-166.38,162,99,0,153,414,217,8,0,1,0,1,2.8
16,71,WIPE,291,609,67.67,0.3233,1,-158.793,-105.54,-144.59,-168.85,-162.94,318,129,51,111,609,145,6,0,1,0,1,3.0
17,42,WIPE,431,469,52.11,0.4789,1,-171.403,-112.78,-140.78,-173.6,-199.83,316,144,9,0,469,160,5,0,0,0,2,3.1
18,35,VICTORY,0,900,100.0,0.0,2,623.033,763.4,613.45,627.25,628.4,663,63,39,135,900,145,4,0,0,0,0,3.2
19,53,WIPE,585,315,35.0,0.65,1,-162.507,-193.87,-148.22,-179.18,-160.12,0,114,48,153,315,0,7,0,0,0,1,3.4
20,60,WIPE,798,102,11.33,0.8867,0,-202.043,-214.8,-189.25,-199.98,-216.9,0,30,51,21,102,0,3,0,0,0,0,3.5
21,64,WIPE,399,501,55.67,0.4433,1,-180.72,-121.4,-166.15,-183.21,-192.8,318,48,69,66,501,0,4,0,1,0,2,3.7
22,74,WIPE,567,333,37.0,0.63,1,-141.55,-187.86,-132.36,-150.58,-141.71,0,96,60,177,333,110,8,0,0,0,0,3.9
23,61,WIPE,672,228,25.33,0.7467,0,-168.717,-217.35,-148.7,-147.65,-209.8,0,129,78,21,228,350,5,0,0,0,0,4.0
24,43,WIPE,420,480,53.33,0.4667,1,-173.26,-129.53,-162.18,-181.62,-175.98,240,111,42,87,480,30,4,0,0,0,2,4.2
25,50,WIPE,764,136,15.11,0.8489,0,-187.253,-219.37,-174.47,-175.42,-211.87,0,48,67,21,136,160,6,0,0,0,0,4.3
26,49,WIPE,294,606,67.33,0.3267,2,-120.093,-89.19,-75.89,-131.4,-152.99,279,198,84,45,606,35,4,0,0,0,2,4.5
