episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,52,VICTORY,0,1200,100.0,0.0,2,1020.113,1005.88,989.38,1112.78,958.18,796,32,44,328,1200,374,5,0,2,0,0,0.9
2,42,WIPE,288,912,76.0,0.24,2,-46.933,35.6,-55.91,33.91,-118.8,780,0,8,124,912,275,2,0,1,0,0,1.0
3,57,WIPE,356,844,70.33,0.2967,2,5.867,-15.42,-76.01,111.97,-18.36,354,46,16,428,844,298,6,0,3,0,1,1.1
4,70,WIPE,364,836,69.67,0.3033,2,-6.71,4.55,-24.69,146.53,-141.97,586,70,36,144,836,570,12,0,2,0,1,1.3
5,47,WIPE,752,448,37.33,0.6267,1,-35.903,-31.46,-53.96,7.81,-61.56,160,0,0,288,448,435,2,0,1,0,2,1.4
6,51,WIPE,558,642,53.5,0.465,1,-1.807,-65.77,-60.0,72.04,-17.46,350,0,0,292,642,320,4,0,1,0,2,1.6
7,53,WIPE,578,622,51.83,0.4817,1,-8.663,9.5,-1.52,50.41,-74.88,426,32,0,164,622,239,6,1,1,0,2,1.8
8,58,WIPE,335,865,72.08,0.2792,2,-4.517,52.47,-6.17,73.77,-81.15,586,0,11,268,865,240,4,0,1,0,2,1.9
9,62,WIPE,320,880,73.33,0.2667,2,21.12,-0.11,25.12,82.02,-43.78,430,46,40,364,880,270,3,0,2,0,0,2.1
10,48,WIPE,418,782,65.17,0.3483,2,8.877,57.34,-34.87,107.41,-45.91,430,0,0,352,782,315,3,0,2,0,2,2.2
11,52,WIPE,606,594,49.5,0.505,1,-17.78,-75.88,-11.51,25.75,-67.58,156,46,0,392,594,210,4,0,0,0,2,2.4
12,55,WIPE,476,724,60.33,0.3967,1,-13.96,11.83,-41.04,8.23,-9.07,354,74,28,268,724,155,5,0,1,0,1,2.6
13,60,WIPE,164,1036,86.33,0.1367,2,0.367,-39.32,20.41,62.31,-81.62,624,60,0,352,1036,274,4,0,0,0,0,2.7
14,66,WIPE,771,429,35.75,0.6425,1,-26.673,-200.65,-29.65,41.18,-91.55,160,78,27,164,429,451,12,0,0,0,1,2.9
15,54,WIPE,496,704,58.67,0.4133,1,-19.733,6.17,-25.03,59.74,-93.91,316,28,0,360,704,310,8,0,1,0,2,3.0
16,50,WIPE,562,638,53.17,0.4683,1,15.703,-117.59,-45.99,108.65,-15.55,198,0,8,432,638,415,5,1,1,0,1,3.3
17,54,WIPE,460,740,61.67,0.3833,1,33.563,-109.94,28.97,115.86,-44.14,236,28,8,468,740,326,3,0,1,0,2,3.4
18,64,WIPE,678,522,43.5,0.565,1,-35.733,-177.65,-19.13,-17.54,-70.53,118,32,0,372,522,275,5,0,1,0,3,3.6
19,56,WIPE,482,718,59.83,0.4017,1,21.927,19.71,55.45,17.52,-7.19,274,0,36,408,718,210,4,0,0,0,3,3.7
20,200,TIMEOUT,686,514,42.83,0.5717,1,136.693,-17.25,109.9,355.7,-55.52,160,74,8,272,514,1490,4,2,0,0,8,4.2
21,66,WIPE,420,780,65.0,0.35,2,50.03,-45.53,45.85,143.35,-39.11,354,14,0,412,780,505,5,1,1,0,2,4.5
22,58,WIPE,68,1132,94.33,0.0567,2,6.73,-58.37,31.43,118.43,-129.67,628,32,16,456,1132,624,13,0,1,0,0,4.7
23,174,WIPE,652,548,45.67,0.5433,1,98.037,-162.31,4.51,289.57,0.03,434,106,8,0,548,1550,4,1,0,0,5,5.1
24,42,WIPE,488,712,59.33,0.4067,1,-28.643,36.04,-37.91,20.54,-68.56,582,14,8,108,712,215,7,0,1,0,2,5.3
25,61,WIPE,254,946,78.83,0.2117,2,11.897,-21.42,-9.6,120.91,-75.62,586,184,8,168,946,325,6,0,1,0,3,5.5
26,77,WIPE,770,430,35.83,0.6417,1,21.287,-146.14,-72.64,112.54,23.96,80,142,44,164,430,700,2,1,0,0,2,5.7
27,56,WIPE,376,824,68.67,0.3133,2,-18.757,51.54,-5.65,61.2,-111.82,506,46,0,272,824,260,2,0,2,0,2,5.8
28,65,WIPE,736,464,38.67,0.6133,1,-27.31,-135.33,-31.64,121.84,-172.13,0,64,0,400,464,560,10,0,1,0,2,6.0
29,85,WIPE,220,980,81.67,0.1833,2,22.62,-38.91,13.66,95.29,-41.09,704,28,0,248,980,220,5,0,1,0,2,6.3
30,41,VICTORY,0,1200,100.0,0.0,2,1041.29,1216.49,1094.29,1084.99,944.59,1056,0,0,144,1200,165,7,1,0,0,0,6.4
31,68,WIPE,440,760,63.33,0.3667,1,-1.143,104.61,17.33,-19.27,-1.49,662,46,8,44,760,140,1,1,0,0,3,6.6
32,65,WIPE,996,204,17.0,0.83,0,-77.843,-108.2,-98.14,-18.99,-116.4,0,32,0,172,204,195,3,0,0,0,0,6.8
33,101,WIPE,555,645,53.75,0.4625,1,74.46,-70.54,35.41,194.2,-6.23,312,78,11,244,645,875,5,1,1,0,5,7.2
34,42,WIPE,756,444,37.0,0.63,1,-8.613,-10.52,-30.41,-18.31,22.88,156,60,0,228,444,50,1,0,0,0,2,7.3
35,55,WIPE,616,584,48.67,0.5133,1,59.967,11.53,85.03,130.96,-36.09,312,88,0,184,584,280,3,1,1,0,3,7.5
36,50,WIPE,808,392,32.67,0.6733,1,-8.047,26.42,53.51,37.46,-115.11,156,0,8,228,392,160,4,1,0,0,3,7.6
37,41,WIPE,378,822,68.5,0.315,2,-49.623,62.7,-89.9,-20.4,-38.57,814,0,8,0,822,250,6,0,2,0,0,7.7
38,48,WIPE,354,846,70.5,0.295,2,18.263,29.67,-1.4,85.13,-28.94,530,0,0,316,846,230,6,0,1,0,2,8.0
39,120,WIPE,804,396,33.0,0.67,1,-77.3,-139.95,-111.84,25.51,-145.57,236,124,36,0,396,775,3,0,1,0,1,8.3
