episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,60,WIPE,113,1387,92.47,0.0753,2,190.02,65.49,189.51,235.81,144.74,348,171,59,809,1387,470,5,0,1,0,1,1.1
2,47,WIPE,231,1269,84.6,0.154,2,202.043,39.25,196.24,273.94,135.95,0,412,120,737,1269,555,5,1,2,0,2,1.2
3,99,WIPE,263,1237,82.47,0.1753,2,182.22,29.1,158.17,372.22,16.27,269,491,125,352,1237,816,5,0,3,0,4,1.5
4,58,WIPE,517,983,65.53,0.3447,1,141.097,89.69,117.63,315.94,-10.28,654,179,36,114,983,610,9,0,2,0,2,1.6
5,36,VICTORY,0,1500,100.0,0.0,2,1102.707,1194.24,1074.84,1139.14,1094.14,992,0,106,402,1500,175,3,0,0,0,0,1.9
6,46,VICTORY,0,1500,100.0,0.0,2,774.727,96.21,1176.74,1097.44,50.0,612,412,124,352,1500,200,3,0,1,0,0,2.0
7,47,WIPE,704,796,53.07,0.4693,1,126.403,-16.72,135.54,207.59,36.08,0,345,113,338,796,390,4,0,1,0,2,2.2
8,69,WIPE,244,1256,83.73,0.1627,2,153.027,64.36,161.72,248.65,48.71,343,317,87,509,1256,460,3,0,0,0,2,2.3
9,63,WIPE,524,976,65.07,0.3493,2,82.72,32.93,111.68,85.33,51.15,306,148,75,447,976,205,5,0,2,0,1,2.5
10,53,WIPE,603,897,59.8,0.402,1,130.267,45.11,130.78,210.66,49.36,232,335,87,243,897,400,6,0,0,0,2,2.8
11,160,WIPE,600,900,60.0,0.4,1,266.313,11.59,165.66,630.41,2.87,227,462,73,138,900,1459,8,0,3,0,5,3.2
12,66,WIPE,479,1021,68.07,0.3193,2,128.123,89.29,91.25,282.15,10.97,686,122,132,81,1021,495,6,1,1,0,3,3.4
13,53,WIPE,351,1149,76.6,0.234,2,109.28,52.34,159.98,135.24,32.62,269,441,73,366,1149,320,3,0,0,0,1,3.7
14,50,WIPE,673,827,55.13,0.4487,1,111.157,22.07,92.48,220.38,20.61,116,298,61,352,827,430,6,0,1,0,2,3.8
15,62,WIPE,310,1190,79.33,0.2067,2,139.71,91.62,124.49,260.77,33.87,533,332,87,238,1190,500,7,0,1,0,2,4.0
16,74,WIPE,931,569,37.93,0.6207,1,82.8,30.09,-102.73,344.48,6.65,232,75,81,181,569,780,7,0,1,0,3,4.2
17,60,WIPE,231,1269,84.6,0.154,2,117.467,58.67,175.41,138.77,38.22,488,413,78,290,1269,265,7,0,1,0,2,4.3
18,33,VICTORY,0,1500,100.0,0.0,2,1109.237,1133.72,1116.67,1147.57,1063.47,839,166,89,406,1500,255,2,0,1,0,0,4.5
19,88,WIPE,341,1159,77.27,0.2273,2,178.04,25.21,262.63,222.81,48.68,104,525,54,476,1159,410,7,0,1,0,2,4.7
20,60,WIPE,775,725,48.33,0.5167,1,103.007,71.61,46.61,240.96,21.45,533,26,47,119,725,485,6,0,0,0,3,4.9
21,57,VICTORY,0,1500,100.0,0.0,2,812.407,129.16,1165.73,199.21,1072.28,765,161,85,489,1500,324,5,0,1,0,1,5.0
22,51,WIPE,679,821,54.73,0.4527,1,90.047,8.52,99.1,168.18,2.86,269,350,45,157,821,355,6,0,2,0,2,5.1
23,64,WIPE,500,1000,66.67,0.3333,2,94.64,68.57,101.07,173.38,9.47,459,283,101,157,1000,415,3,0,3,0,2,5.4
24,41,WIPE,697,803,53.53,0.4647,1,60.293,59.68,22.6,139.36,18.92,380,117,92,214,803,336,4,0,1,0,2,5.5
25,45,WIPE,640,860,57.33,0.4267,1,24.533,77.92,-5.04,75.53,3.11,649,0,92,119,860,150,7,0,1,0,2,5.6
26,66,WIPE,252,1248,83.2,0.168,2,196.067,22.75,194.05,258.8,135.35,79,275,228,666,1248,433,5,0,1,0,1,5.8
27,58,WIPE,542,958,63.87,0.3613,1,111.953,37.35,133.73,190.05,12.08,348,218,78,314,958,359,6,0,2,0,2,6.0
28,61,WIPE,601,899,59.93,0.4007,1,144.067,46.86,138.6,252.34,41.26,306,358,78,157,899,595,6,0,0,0,2,6.3
