episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,108,WIPE,894,306,25.5,0.745,0,-136.023,-68.22,-139.65,-112.07,-156.35,80,106,100,20,306,285,1,0,0,0,0,1.1
2,81,WIPE,792,408,34.0,0.66,1,-39.173,-62.26,-65.4,73.55,-125.67,194,42,68,104,408,440,2,0,1,0,2,1.3
3,55,WIPE,752,448,37.33,0.6267,1,-58.183,-60.16,-87.54,-6.87,-80.14,274,106,24,44,448,80,2,0,1,0,2,1.4
4,64,WIPE,841,359,29.92,0.7008,0,-119.897,-98.93,-138.07,-70.2,-151.42,156,83,56,64,359,0,2,0,0,0,0,1.6
5,63,WIPE,902,298,24.83,0.7517,0,-140.793,-92.18,-184.62,-82.25,-155.51,80,134,84,0,298,80,0,0,0,0,0,1.9
6,87,WIPE,802,398,33.17,0.6683,1,-103.723,-79.91,-85.36,-113.35,-112.46,236,138,24,0,398,195,3,0,0,0,1,2.1
7,46,WIPE,612,588,49.0,0.51,1,-59.257,-14.56,-96.95,1.84,-82.66,392,32,36,128,588,160,2,0,2,0,1,2.2
8,97,WIPE,725,475,39.58,0.6042,1,-39.707,-85.16,-58.06,-2.14,-58.92,194,74,55,152,475,140,4,0,1,0,2,2.5
9,125,WIPE,866,334,27.83,0.7217,0,-146.763,-114.22,-274.74,-56.9,-108.65,80,106,104,44,334,305,3,0,0,0,0,2.9
10,51,WIPE,562,638,53.17,0.4683,1,-7.927,1.77,-35.0,62.56,-51.34,548,74,16,0,638,130,1,0,1,0,2,3.1
11,75,WIPE,784,416,34.67,0.6533,1,-122.547,-102.05,-122.94,-93.51,-151.19,168,88,8,152,416,0,4,0,0,0,1,3.2
12,51,WIPE,607,593,49.42,0.5058,1,-40.387,-31.8,-36.0,-2.41,-82.75,455,14,40,84,593,160,3,0,0,0,2,3.4
13,108,WIPE,854,346,28.83,0.7117,0,-158.51,-64.07,-168.09,-164.17,-143.27,194,84,28,40,346,250,1,0,0,0,0,3.8
14,84,WIPE,1084,116,9.67,0.9033,0,-111.1,-179.47,-138.33,-72.75,-122.22,0,88,28,0,116,83,2,0,0,0,0,4.0
15,58,WIPE,710,490,40.83,0.5917,1,-28.917,-75.64,-34.17,3.16,-55.74,274,32,76,108,490,215,9,0,1,0,2,4.1
16,68,WIPE,662,538,44.83,0.5517,1,-32.637,37.23,-94.17,20.48,-24.22,430,88,20,0,538,9,0,0,1,0,2,4.3
17,54,WIPE,520,680,56.67,0.4333,1,-10.583,19.96,-5.03,1.99,-28.71,506,74,56,44,680,115,4,0,2,0,2,4.6
18,69,WIPE,718,482,40.17,0.5983,1,-8.06,-95.83,-1.18,91.84,-114.84,156,106,68,152,482,400,3,1,0,0,2,4.8
19,38,WIPE,556,644,53.67,0.4633,1,-49.853,26.62,-80.37,-46.91,-22.28,506,46,28,64,644,50,3,0,2,0,1,4.9
20,106,WIPE,758,442,36.83,0.6317,1,8.67,-14.84,-75.09,120.05,-18.95,236,46,52,108,442,545,3,0,0,0,4,5.2
21,69,WIPE,760,440,36.67,0.6333,1,-30.377,-82.52,9.82,10.06,-111.01,198,134,0,108,440,110,1,0,1,0,2,5.6
22,60,WIPE,412,788,65.67,0.3433,2,14.393,55.44,72.41,-45.77,16.54,586,130,28,44,788,165,5,1,1,0,1,5.7
23,57,WIPE,546,654,54.5,0.455,1,-25.693,-49.95,-29.06,30.54,-78.56,590,28,36,0,654,180,3,0,0,0,2,5.9
24,83,WIPE,620,580,48.33,0.5167,1,-9.97,-93.23,112.88,-6.63,-136.16,160,185,103,132,580,260,6,0,1,0,2,6.1
25,75,WIPE,475,725,60.42,0.3958,1,146.533,63.37,166.26,170.86,102.48,505,88,8,124,725,235,2,4,0,0,2,6.5
26,69,WIPE,738,462,38.5,0.615,1,16.647,-49.94,98.32,-5.64,-42.74,198,78,62,124,462,80,3,0,0,0,3,6.7
27,92,WIPE,932,268,22.33,0.7767,0,-71.233,-101.25,-77.51,-40.41,-95.78,80,88,16,84,268,425,0,0,0,0,0,6.9
28,63,WIPE,616,584,48.67,0.5133,1,1.967,-2.51,-3.62,90.13,-80.61,392,152,20,20,584,270,1,0,1,0,2,7.1
29,67,WIPE,502,698,58.17,0.4183,1,-17.237,-21.53,-48.16,36.28,-39.83,586,0,48,64,698,145,2,0,1,0,3,7.4
30,52,WIPE,738,462,38.5,0.615,1,-45.51,-36.8,-15.71,-100.88,-19.94,274,28,28,132,462,80,5,0,0,0,2,7.6
31,60,WIPE,201,999,83.25,0.1675,2,5.53,57.56,-18.59,89.91,-54.73,843,0,8,148,999,260,4,1,1,0,1,7.8
32,63,WIPE,553,647,53.92,0.4608,1,-88.583,23.4,-150.62,45.9,-161.03,472,32,35,108,647,240,1,0,0,0,3,8.1
