episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,121,WIPE,594,306,34.0,0.66,1,-179.245,25.95,-151.04,-63.32,-323.376,159,81,0,66,306,0,2,0,0,0,0,1.7
2,80,WIPE,429,471,52.33,0.4767,1,-35.309,1.73,22.63,-50.043,-78.515,81,219,84,87,471,85,1,0,0,0,2,1.8
3,108,WIPE,42,858,95.33,0.0467,2,166.323,7.39,117.669,185.993,195.307,201,66,126,465,858,50,2,0,0,0,2,2.0
4,78,WIPE,615,285,31.67,0.6833,1,-50.882,28.02,-63.035,-60.45,-29.16,81,114,0,90,285,80,1,0,0,0,0,2.1
5,192,WIPE,804,96,10.67,0.8933,0,-383.9,-13.78,-219.37,-168.21,-764.12,0,15,39,42,96,104,4,0,0,0,0,2.4
6,90,WIPE,633,267,29.67,0.7033,0,-208.623,-7.03,-338.23,-45.48,-242.16,81,81,39,66,267,31,0,0,0,0,0,2.5
7,273,WIPE,747,153,17.0,0.83,0,-545.447,11.95,-76.77,-378.68,-1180.89,81,63,9,0,153,185,2,0,0,0,0,3.0
8,85,WIPE,738,162,18.0,0.82,0,-96.073,87.83,-29.98,-26.06,-232.18,81,81,0,0,162,0,1,0,0,0,0,3.1
9,192,WIPE,675,225,25.0,0.75,0,-340.617,20.53,-229.88,-19.8,-772.17,81,78,0,66,225,0,5,0,0,0,0,3.4
10,135,WIPE,768,132,14.67,0.8533,0,-273.833,-20.02,-518.58,-68.5,-234.42,0,48,39,45,132,224,1,0,0,0,0,3.6
11,81,VICTORY,0,900,100.0,0.0,2,571.387,1.08,587.745,541.091,585.325,120,111,186,483,900,65,3,0,0,0,0,3.7
12,295,WIPE,705,195,21.67,0.7833,0,-936.157,-31.92,-197.11,-1467.18,-1144.18,0,66,18,111,195,359,3,0,0,0,0,4.2
13,300,TIMEOUT,726,174,19.33,0.8067,0,-549.003,-15.63,-181.8,-1312.55,-152.66,81,93,0,0,174,540,2,0,0,0,0,4.9
14,152,WIPE,786,114,12.67,0.8733,0,-330.823,-20.28,-167.24,-300.26,-524.97,0,0,72,42,114,230,3,0,0,0,0,5.1
15,70,WIPE,462,438,48.67,0.5133,1,78.175,130.93,95.251,96.083,43.191,240,159,39,0,438,50,1,0,0,0,2,5.2
16,300,TIMEOUT,696,204,22.67,0.7733,0,-562.203,-23.49,-247.47,-1094.55,-344.59,81,81,21,21,204,665,3,0,0,0,0,5.8
17,166,WIPE,641,259,28.78,0.7122,0,-305.553,56.23,-88.86,-396.5,-431.3,81,78,37,63,259,185,7,0,0,0,0,6.1
18,269,WIPE,711,189,21.0,0.79,0,-763.8,-13.63,-240.01,-959.96,-1091.43,81,45,63,0,189,400,8,0,0,0,0,6.6
19,85,WIPE,678,222,24.67,0.7533,0,-206.753,-9.87,-277.31,-206.68,-136.27,81,81,60,0,222,220,3,0,0,0,0,6.8
20,79,WIPE,480,420,46.67,0.5333,1,106.287,144.45,131.67,119.207,67.985,240,108,72,0,420,0,3,0,0,0,1,6.9
21,71,WIPE,507,393,43.67,0.5633,1,-77.242,-20.46,-144.058,-17.406,-70.263,162,126,39,66,393,155,2,0,0,0,1,7.0
22,51,WIPE,327,573,63.67,0.3633,1,154.816,159.77,160.879,195.384,108.184,264,93,108,108,573,35,1,1,0,0,1,7.0
23,79,WIPE,306,594,66.0,0.34,2,137.251,163.8,187.058,1.22,223.474,279,78,30,207,594,0,2,0,0,0,1,7.1
24,170,WIPE,378,522,58.0,0.42,1,-427.208,-14.01,-267.64,-643.09,-370.893,81,63,66,312,522,208,3,0,0,0,0,7.4
25,76,WIPE,318,582,64.67,0.3533,1,129.768,207.11,56.173,146.132,186.998,240,48,27,267,582,0,2,1,0,0,1,7.7
26,101,VICTORY,0,900,100.0,0.0,2,478.864,44.75,394.406,570.546,471.639,201,0,243,456,900,115,2,0,0,0,0,7.9
27,213,WIPE,720,180,20.0,0.8,0,-467.717,-0.85,-299.43,-717.69,-386.03,81,99,0,0,180,275,2,0,0,0,0,8.3
28,158,WIPE,690,210,23.33,0.7667,0,-389.967,-14.63,-206.78,-266.43,-696.69,81,30,78,21,210,220,1,0,0,0,0,8.9
29,101,WIPE,597,303,33.67,0.6633,1,-198.077,68.98,-169.119,-129.037,-296.074,198,48,57,0,303,155,2,0,0,0,0,9.1
30,87,WIPE,306,594,66.0,0.34,2,195.586,92.29,256.439,258.863,71.456,162,174,81,177,594,160,2,0,0,0,1,9.2
31,91,WIPE,231,669,74.33,0.2567,2,235.839,34.56,267.538,230.221,209.757,198,111,165,195,669,0,1,0,0,0,1,9.3
