episode,steps,result,boss_hp_remaining,boss_hp_damaged,boss_hp_damaged_pct,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_dealer,damage_tank,damage_healer,damage_support,damage_total,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,65,WIPE,306,594,66.0,0.34,2,-86.113,88.98,-170.64,-52.25,-35.45,477,33,0,84,594,0,3,0,0,0,1,1.0
2,60,WIPE,468,432,48.0,0.52,1,-54.603,5.29,-139.29,35.24,-59.76,159,48,0,225,432,128,4,0,0,0,1,1.1
3,72,WIPE,249,651,72.33,0.2767,2,-28.303,22.15,-54.21,30.9,-61.6,315,63,0,273,651,0,3,0,0,0,1,1.3
4,64,WIPE,621,279,31.0,0.69,1,-155.263,-144.69,-183.03,-184.73,-98.03,0,48,0,231,279,175,4,0,0,0,0,1.5
5,46,VICTORY,0,900,100.0,0.0,2,1067.707,1098.59,1135.84,1012.84,1054.44,837,0,0,63,900,35,1,0,0,0,0,1.8
6,54,WIPE,486,414,46.0,0.54,1,-12.497,11.21,-54.03,46.66,-30.12,159,81,0,174,414,190,4,0,0,0,2,1.9
7,34,VICTORY,0,900,100.0,0.0,2,1103.36,1158.76,1127.06,1065.36,1117.66,636,0,18,246,900,53,2,0,0,0,0,2.0
8,52,VICTORY,0,900,100.0,0.0,2,990.18,1104.13,1011.68,1048.38,910.48,858,0,0,42,900,80,4,0,0,0,0,2.1
9,46,VICTORY,0,900,100.0,0.0,2,1052.973,1096.89,1061.84,1032.64,1064.44,687,0,0,213,900,50,0,0,0,0,0,2.2
10,81,WIPE,222,678,75.33,0.2467,2,-93.063,35.64,-119.5,-31.81,-127.88,498,96,0,84,678,83,2,0,0,0,1,2.5
11,70,WIPE,308,592,65.78,0.3422,2,-93.98,11.74,-192.49,-16.84,-72.61,366,121,0,105,592,0,3,0,0,0,1,2.8
12,75,WIPE,285,615,68.33,0.3167,2,-93.08,-27.8,-181.44,11.15,-108.95,342,81,45,147,615,195,1,1,0,0,0,3.0
13,59,WIPE,546,354,39.33,0.6067,1,-37.733,47.53,-94.18,46.4,-65.42,198,63,30,63,354,70,2,0,0,0,1,3.1
14,53,WIPE,351,549,61.0,0.39,1,-50.973,-44.79,-153.62,64.39,-63.69,387,48,9,105,549,184,1,0,0,0,2,3.3
15,71,WIPE,309,591,65.67,0.3433,2,-51.073,14.98,-191.2,33.99,3.99,444,33,30,84,591,0,1,0,0,0,1,3.6
16,61,WIPE,303,597,66.33,0.3367,2,-104.447,70.63,-231.5,-29.02,-52.82,576,0,21,0,597,35,3,0,0,0,1,3.7
17,69,WIPE,282,618,68.67,0.3133,2,-125.58,48.67,-225.38,-56.98,-94.38,513,33,9,63,618,0,3,0,0,0,0,3.9
18,60,WIPE,390,510,56.67,0.4333,1,-45.877,15.24,-94.49,28.22,-71.36,252,99,9,150,510,70,0,0,0,0,2,4.1
19,64,WIPE,363,537,59.67,0.4033,1,-54.643,-32.07,-122.03,98.43,-140.33,186,78,39,234,537,220,4,0,0,0,1,4.3
20,43,VICTORY,0,900,100.0,0.0,2,985.603,1150.72,1023.07,951.07,982.67,804,0,9,87,900,65,4,0,0,0,0,4.5
21,60,WIPE,579,321,35.67,0.6433,1,-165.92,-47.08,-226.89,-121.25,-149.62,0,81,9,231,321,50,2,0,0,0,1,4.6
22,60,WIPE,510,390,43.33,0.5667,1,-67.413,-58.85,-197.09,-7.35,2.2,81,48,18,243,390,165,4,1,1,0,1,4.8
23,62,WIPE,315,585,65.0,0.35,2,-112.897,-24.59,-235.51,-25.44,-77.74,396,0,21,168,585,230,2,0,0,0,1,5.0
24,58,WIPE,339,561,62.33,0.3767,1,-56.59,9.45,-238.07,14.15,54.15,462,15,0,84,561,200,5,0,0,0,2,5.6
25,47,VICTORY,0,900,100.0,0.0,2,1020.863,1104.38,1016.03,1030.23,1016.33,735,0,12,153,900,80,6,0,0,0,0,5.9
26,66,WIPE,294,606,67.33,0.3267,2,-12.55,83.84,-101.35,25.01,38.69,423,33,0,150,606,30,3,1,0,0,1,6.3
27,40,VICTORY,0,900,100.0,0.0,2,974.3,1162.3,1019.8,953.7,949.4,828,0,9,63,900,0,3,0,0,0,0,6.5
28,71,WIPE,621,279,31.0,0.69,1,-278.867,-88.94,-306.2,-209.0,-321.4,81,81,30,87,279,135,1,0,0,0,0,7.0
29,66,WIPE,504,396,44.0,0.56,1,-72.097,-43.12,-92.25,-72.87,-51.17,162,96,9,129,396,0,2,0,0,0,2,7.7
30,79,WIPE,312,588,65.33,0.3467,2,-182.833,0.72,-330.78,-86.73,-130.99,360,33,0,195,588,0,3,0,0,0,0,8.1
31,69,WIPE,543,357,39.67,0.6033,1,-41.15,-23.82,-13.88,-12.32,-97.25,81,66,57,153,357,240,4,1,0,0,2,8.5
32,45,VICTORY,0,900,100.0,0.0,2,958.483,1108.1,980.95,953.85,940.65,747,0,0,153,900,80,4,0,0,0,0,8.9
33,43,WIPE,696,204,22.67,0.7733,0,-133.793,-101.09,-277.22,-59.46,-64.7,0,99,42,63,204,80,2,0,0,0,0,9.4
34,57,WIPE,362,538,59.78,0.4022,1,-138.85,1.09,-224.26,-130.68,-61.61,292,48,27,171,538,30,5,0,0,0,1,9.8
35,80,WIPE,302,598,66.44,0.3356,2,-95.733,88.88,-258.89,23.13,-51.44,475,48,9,66,598,50,2,0,1,0,0,10.2
36,53,WIPE,399,501,55.67,0.4433,1,-1.477,38.31,-64.62,18.01,42.18,279,0,0,222,501,0,3,1,0,0,1,10.5
37,74,WIPE,312,588,65.33,0.3467,2,-105.047,57.78,-249.53,17.18,-82.79,459,15,30,84,588,65,3,0,0,0,1,10.9
38,45,VICTORY,0,900,100.0,0.0,2,1030.683,1145.4,1083.55,994.05,1014.45,858,0,21,21,900,50,4,0,0,0,0,11.5
39,45,VICTORY,0,900,100.0,0.0,2,995.75,1107.4,1032.95,1034.35,919.95,729,0,39,132,900,151,5,0,0,0,0,11.7
40,40,VICTORY,0,900,100.0,0.0,2,1035.467,1163.5,1074.9,966.0,1065.5,816,0,0,84,900,0,5,0,0,0,0,12.0
41,59,WIPE,525,375,41.67,0.5833,1,7.613,35.59,-20.68,61.76,-18.24,198,99,12,66,375,66,2,0,0,0,2,12.3
42,64,WIPE,314,586,65.11,0.3489,2,-93.17,66.91,-252.93,21.21,-47.79,418,63,21,84,586,0,3,0,0,0,1,12.7
43,45,VICTORY,0,900,100.0,0.0,2,1050.283,1074.8,1071.15,1057.35,1022.35,624,0,0,276,900,50,3,0,0,0,0,13.0
44,44,VICTORY,0,900,100.0,0.0,2,1056.793,1127.71,1108.16,1047.46,1014.76,783,0,33,84,900,65,2,0,0,0,0,13.5
45,70,WIPE,531,369,41.0,0.59,1,-63.023,-29.9,-110.99,37.1,-115.18,0,0,51,318,369,270,5,1,0,0,1,13.9
46,58,WIPE,597,303,33.67,0.6633,1,-186.137,-48.07,-294.37,-80.22,-183.82,81,15,9,198,303,80,2,0,0,0,0,14.3
47,56,WIPE,309,591,65.67,0.3433,2,-141.33,72.68,-286.75,19.43,-156.67,498,0,9,84,591,66,7,0,0,0,0,14.6
48,58,WIPE,597,303,33.67,0.6633,1,-265.277,-80.07,-344.27,-205.23,-246.33,81,66,27,129,303,180,4,0,0,0,1,14.9
49,77,WIPE,534,366,40.67,0.5933,1,-255.073,-115.99,-373.26,-163.98,-227.98,0,96,39,231,366,265,4,0,0,0,1,15.6
50,63,WIPE,321,579,64.33,0.3567,1,-39.973,79.1,-86.62,-1.2,-32.1,405,48,0,126,579,35,2,1,0,0,1,15.9
51,48,VICTORY,0,900,100.0,0.0,2,982.987,1089.97,1024.52,974.02,950.42,708,0,18,174,900,55,1,0,0,0,0,16.2
52,54,VICTORY,0,900,100.0,0.0,2,624.177,1159.21,1014.86,-121.49,979.16,587,33,70,210,900,35,6,0,0,0,0,16.6
53,72,WIPE,311,589,65.44,0.3456,2,-61.353,103.52,-95.61,8.21,-96.66,363,58,21,147,589,103,5,1,0,0,1,17.1
54,62,WIPE,246,654,72.67,0.2733,2,-130.337,4.9,-256.01,-31.45,-103.55,405,0,21,228,654,30,5,0,0,0,0,17.8
55,65,WIPE,309,591,65.67,0.3433,2,-83.6,41.91,-182.24,50.31,-118.87,438,66,0,87,591,173,5,0,1,0,1,18.2
56,44,VICTORY,0,900,100.0,0.0,2,990.56,1158.76,1026.16,976.16,969.36,879,0,21,0,900,0,3,0,0,0,0,18.5
57,57,WIPE,309,591,65.67,0.3433,2,-98.56,19.09,-190.46,-34.86,-70.36,360,33,9,189,591,80,3,0,0,0,0,18.9
58,51,WIPE,338,562,62.44,0.3756,1,-61.357,2.8,-81.5,12.3,-114.87,328,48,60,126,562,85,3,1,0,0,1,19.2
59,49,VICTORY,0,900,100.0,0.0,2,975.177,1140.21,1008.51,977.41,939.61,750,0,21,129,900,0,1,0,0,0,0,19.7
60,70,WIPE,480,420,46.67,0.5333,1,-60.823,14.92,-112.39,-24.65,-45.43,198,114,0,108,420,35,2,0,1,0,2,20.1
61,64,WIPE,325,575,63.89,0.3611,1,-62.153,25.18,-154.93,43.39,-74.92,361,99,28,87,575,75,8,0,1,0,1,20.5
62,55,WIPE,321,579,64.33,0.3567,1,-82.447,36.15,-246.54,20.35,-21.15,558,0,0,21,579,45,2,0,0,0,1,20.8
63,46,WIPE,339,561,62.33,0.3767,1,-33.07,27.26,-56.05,9.52,-52.68,477,0,0,84,561,0,2,0,0,0,2,21.1
64,69,WIPE,315,585,65.0,0.35,2,-119.493,21.85,-261.38,0.15,-97.25,456,0,21,108,585,80,3,0,0,0,1,21.8
65,81,WIPE,306,594,66.0,0.34,2,-179.8,36.35,-281.1,-34.95,-223.35,501,33,18,42,594,204,3,0,0,0,0,22.3
66,49,WIPE,348,552,61.33,0.3867,1,-46.05,49.33,-34.98,-69.5,-33.67,324,81,42,105,552,0,3,0,0,0,2,22.6
67,57,WIPE,387,513,57.0,0.43,1,-81.107,49.03,-38.86,-31.62,-172.84,393,99,21,0,513,155,2,1,0,0,1,22.9
68,83,WIPE,426,474,52.67,0.4733,1,-254.0,-36.95,-330.92,-138.95,-292.13,81,180,18,195,474,320,8,0,0,0,2,23.6
69,57,VICTORY,0,900,100.0,0.0,2,962.263,1079.68,904.63,1005.73,976.43,879,0,0,21,900,80,4,0,0,0,0,24.0
70,52,VICTORY,0,900,100.0,0.0,2,1108.513,1098.88,1056.38,1092.08,1177.08,663,48,39,150,900,115,0,0,0,0,0,24.3
71,50,WIPE,444,456,50.67,0.4933,1,-64.9,52.06,-168.19,9.03,-35.54,348,15,9,84,456,45,2,0,0,0,2,24.6
72,56,WIPE,482,418,46.44,0.5356,1,-3.63,-100.49,-60.35,66.23,-16.77,262,33,18,105,418,71,2,0,1,0,1,24.9
73,67,WIPE,342,558,62.0,0.38,1,-120.697,-10.45,-262.16,-8.65,-91.28,204,66,51,237,558,215,0,1,0,0,1,25.6
74,53,VICTORY,0,900,100.0,0.0,2,1158.47,1128.47,1105.97,1184.07,1185.37,624,0,9,267,900,275,6,0,0,0,0,25.9
75,71,VICTORY,0,900,100.0,0.0,2,560.537,1064.89,891.49,-129.67,919.79,732,66,60,42,900,195,0,0,0,0,0,26.3
76,56,WIPE,327,573,63.67,0.3633,1,-98.737,-25.73,-287.85,23.57,-31.93,249,66,51,207,573,50,1,0,0,0,1,26.6
77,43,VICTORY,0,900,100.0,0.0,2,998.77,1158.52,1004.87,1017.37,974.07,807,0,51,42,900,80,2,0,0,0,0,26.9
78,63,WIPE,312,588,65.33,0.3467,2,-76.0,76.81,-222.32,-11.14,5.46,441,0,39,108,588,0,3,0,0,0,1,27.6
79,41,VICTORY,0,900,100.0,0.0,2,982.19,1130.29,989.59,1016.49,940.49,717,33,21,129,900,155,2,0,0,0,0,27.9
80,101,WIPE,582,318,35.33,0.6467,1,-201.783,28.64,-534.9,-70.53,0.08,0,99,153,66,318,754,4,0,0,0,1,28.5
81,54,WIPE,396,504,56.0,0.44,1,-6.48,31.44,-57.13,42.0,-4.31,369,30,21,84,504,80,3,0,0,0,2,28.8
82,33,VICTORY,0,900,100.0,0.0,2,1113.137,1161.92,1152.57,1144.47,1042.37,678,0,0,222,900,0,2,0,0,0,0,29.2
83,48,WIPE,372,528,58.67,0.4133,1,-119.163,3.68,-193.57,-9.77,-154.15,351,48,0,129,528,75,1,0,0,0,2,29.5
84,69,WIPE,621,279,31.0,0.69,1,-105.497,-26.28,-196.68,19.92,-139.73,0,48,21,210,279,235,5,0,0,0,0,29.9
85,63,WIPE,303,597,66.33,0.3367,2,-49.9,46.51,-123.12,-7.77,-18.81,480,33,0,84,597,35,4,0,1,0,1,30.3
86,67,WIPE,336,564,62.67,0.3733,1,-37.86,152.21,-65.46,-26.31,-21.81,444,78,0,42,564,50,4,1,0,0,1,30.8
87,69,WIPE,303,597,66.33,0.3367,2,-84.273,-6.21,-162.58,-46.47,-43.77,423,48,0,126,597,50,0,0,0,0,1,31.5
88,92,WIPE,540,360,40.0,0.6,1,-303.117,-136.17,-448.91,-196.42,-264.02,159,81,30,90,360,210,2,0,0,0,1,32.0
89,63,WIPE,519,381,42.33,0.5767,1,-96.02,-17.69,-190.12,-86.19,-11.75,0,81,21,279,381,84,4,0,0,0,1,32.3
90,63,VICTORY,0,900,100.0,0.0,2,969.503,1107.77,947.67,922.67,1038.17,834,66,0,0,900,35,6,0,0,0,0,32.7
91,35,VICTORY,0,900,100.0,0.0,2,1056.183,1143.55,1046.05,1038.85,1083.65,606,33,39,222,900,0,3,0,0,0,0,33.2
92,74,WIPE,252,648,72.0,0.28,2,-170.283,76.79,-281.33,-47.36,-182.16,516,81,9,42,648,24,2,0,0,0,0,33.6
93,92,WIPE,168,732,81.33,0.1867,2,-59.163,50.11,-206.21,32.71,-3.99,456,132,15,129,732,0,4,0,0,0,1,34.2
94,65,WIPE,315,585,65.0,0.35,2,-110.813,32.55,-233.14,-69.6,-29.7,438,0,42,105,585,0,2,0,0,0,0,34.6
95,54,WIPE,546,354,39.33,0.6067,1,-62.757,12.26,-98.93,17.01,-106.35,159,81,9,105,354,0,1,0,0,0,2,35.2
96,61,WIPE,501,399,44.33,0.5567,1,-59.113,-24.32,-200.3,-45.92,68.88,81,129,18,171,399,64,4,0,0,0,1,35.5
97,63,WIPE,300,600,66.67,0.3333,2,-75.28,39.94,-130.62,-35.06,-60.16,459,33,21,87,600,80,5,0,0,0,0,35.9
98,44,VICTORY,0,900,100.0,0.0,2,987.26,1151.61,1029.76,977.26,954.76,879,0,0,21,900,0,1,0,0,0,0,36.1
99,60,VICTORY,0,900,100.0,0.0,2,942.467,984.0,894.9,964.2,968.3,594,66,72,168,900,160,4,0,0,0,0,36.5
100,66,WIPE,309,591,65.67,0.3433,2,-139.547,64.49,-280.35,19.49,-157.78,558,33,0,0,591,30,2,0,1,0,0,37.1
101,50,VICTORY,0,900,100.0,0.0,2,994.633,1130.0,1022.4,993.9,967.6,600,33,21,246,900,50,5,0,0,0,0,37.5
102,68,WIPE,612,288,32.0,0.68,1,-74.497,-74.11,-154.67,5.39,-74.21,0,63,72,153,288,130,5,0,0,0,1,37.9
103,56,WIPE,345,555,61.67,0.3833,1,-111.91,28.76,-234.65,-35.84,-65.24,465,48,21,21,555,30,0,0,0,0,1,38.2
104,57,WIPE,258,642,71.33,0.2867,2,-78.957,80.83,-147.56,60.13,-149.44,528,0,18,96,642,80,4,0,0,0,1,38.5
105,60,WIPE,630,270,30.0,0.7,1,-158.42,-85.06,-314.59,-47.04,-113.63,0,114,48,108,270,0,4,0,0,0,0,39.2
106,57,WIPE,417,483,53.67,0.4633,1,6.967,93.12,-5.26,-34.07,60.23,237,129,0,117,483,0,4,1,0,0,1,39.5
107,62,WIPE,315,585,65.0,0.35,2,-96.643,28.99,-212.91,-26.81,-50.21,417,66,39,63,585,80,5,0,0,0,1,39.9
108,54,VICTORY,0,900,100.0,0.0,2,941.927,1066.61,905.16,949.96,970.66,672,66,0,162,900,0,2,0,0,0,0,40.3
109,63,WIPE,302,598,66.44,0.3356,2,-137.073,67.6,-232.72,0.35,-178.85,511,0,21,66,598,0,10,0,0,0,0,40.6
110,66,WIPE,294,606,67.33,0.3267,2,-110.523,56.99,-239.55,-37.91,-54.11,540,66,0,0,606,0,3,0,0,0,1,41.3
111,72,WIPE,45,855,95.0,0.05,2,-32.623,103.45,-174.01,15.57,60.57,552,48,9,246,855,0,4,0,0,0,1,41.8
112,44,WIPE,624,276,30.67,0.6933,1,-62.017,-6.66,-148.63,-33.11,-4.31,198,0,36,42,276,0,6,0,0,0,1,42.0
113,38,VICTORY,0,900,100.0,0.0,2,1092.32,1137.22,1066.22,1006.92,1203.82,657,0,9,234,900,0,2,0,0,0,0,42.3
114,49,WIPE,384,516,57.33,0.4267,1,-92.467,43.04,-221.28,-20.26,-35.86,390,63,21,42,516,54,6,0,0,0,1,42.6
115,55,VICTORY,0,900,100.0,0.0,2,937.083,1101.75,935.05,1013.85,862.35,723,33,18,126,900,230,4,0,0,0,0,43.2
116,97,WIPE,39,861,95.67,0.0433,2,-52.423,183.38,-102.96,-32.16,-22.15,660,129,9,63,861,30,1,2,0,0,1,43.8
117,56,WIPE,531,369,41.0,0.59,1,-115.007,-30.75,-196.55,-30.8,-117.67,201,66,18,84,369,70,4,0,0,0,1,44.1
118,54,WIPE,588,312,34.67,0.6533,1,-142.67,-14.61,-199.17,-47.51,-181.33,198,33,39,42,312,115,1,0,0,0,0,44.5
119,82,WIPE,315,585,65.0,0.35,2,-166.397,50.29,-384.31,-17.46,-97.42,363,108,30,84,585,50,3,0,0,0,1,45.3
120,78,WIPE,252,648,72.0,0.28,2,-89.29,73.55,-179.37,1.85,-90.35,513,96,39,0,648,50,0,0,0,0,0,45.8
121,51,VICTORY,0,900,100.0,0.0,2,1009.523,1098.74,1029.69,1017.19,981.69,645,6,18,231,900,120,7,0,0,0,0,46.1
