episode,steps,result,boss_hp_remaining,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_tank,damage_healer,damage_support,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
1,37,WIPE,4905,0.981,0,-205.643,-220.54,-191.59,-215.4,-209.94,40,5,50,0,2,0,0,0,0,1.5
2,57,WIPE,4920,0.984,0,-205.397,-203.19,-183.39,-211.56,-221.24,0,15,0,40,3,0,0,0,0,1.6
3,36,WIPE,4870,0.974,0,-202.24,-213.5,-183.05,-207.67,-216.0,90,5,35,40,1,0,0,0,0,1.8
4,50,WIPE,4885,0.977,0,-218.55,-205.25,-234.25,-213.0,-208.4,0,0,50,0,0,0,0,0,0,1.9
5,54,WIPE,4579,0.9158,0,-199.08,-145.1,-189.0,-194.69,-213.55,25,0,0,40,3,0,0,0,0,2.1
6,28,WIPE,4985,0.997,0,-215.417,-220.32,-216.32,-211.31,-218.62,0,0,15,40,0,0,0,0,0,2.1
7,33,WIPE,4720,0.944,0,-204.597,-185.75,-205.9,-205.94,-201.95,35,15,70,0,2,0,0,0,0,2.2
8,29,WIPE,4815,0.963,0,-211.83,-189.76,-207.06,-211.47,-216.96,25,5,0,0,0,0,0,0,0,2.3
9,59,WIPE,4819,0.9638,0,-192.21,-200.09,-177.24,-185.4,-213.99,45,71,0,115,1,0,0,0,0,2.5
10,35,WIPE,4740,0.948,0,-205.693,-174.58,-196.78,-205.52,-214.78,10,0,0,40,0,0,0,0,0,2.6
11,25,WIPE,4985,0.997,0,-215.673,-218.78,-208.48,-216.11,-222.43,0,15,0,0,0,0,0,0,0,2.7
12,27,WIPE,4685,0.937,0,-205.373,-167.72,-198.87,-209.23,-208.02,0,0,35,0,0,0,0,0,0,2.7
13,32,WIPE,4930,0.986,0,-209.777,-216.37,-198.92,-210.19,-220.22,35,35,0,0,0,0,0,0,0,2.9
14,33,WIPE,4530,0.906,0,-194.517,-151.72,-182.97,-197.11,-203.47,60,0,35,40,0,0,0,0,0,2.9
15,45,WIPE,4725,0.945,0,-194.23,-189.87,-169.22,-205.85,-207.62,75,5,35,0,0,0,0,0,0,3.0
16,40,WIPE,4420,0.884,0,-188.817,-125.09,-183.79,-186.72,-195.94,20,15,50,80,1,0,0,0,0,3.2
17,25,WIPE,4955,0.991,0,-213.02,-217.77,-202.82,-219.22,-217.02,10,0,35,0,0,0,0,0,0,3.2
18,36,WIPE,4855,0.971,0,-205.437,-204.02,-190.72,-209.42,-216.17,25,20,35,40,1,0,0,0,0,3.3
19,29,WIPE,4900,0.98,0,-211.033,-206.03,-199.18,-216.84,-217.08,35,0,0,0,0,0,0,0,0,3.4
20,26,WIPE,4945,0.989,0,-211.057,-222.24,-204.64,-207.84,-220.69,25,30,0,40,0,0,0,0,0,3.5
21,30,WIPE,4745,0.949,0,-196.577,-196.25,-185.3,-203.63,-200.8,60,0,100,40,1,0,0,0,0,3.6
22,28,WIPE,4620,0.924,0,-202.797,-157.05,-190.8,-207.44,-210.15,25,0,15,0,0,0,0,0,0,3.7
23,27,WIPE,4975,0.995,0,-213.71,-219.97,-200.52,-217.74,-222.87,25,0,0,0,0,0,0,0,0,3.8
24,28,WIPE,4780,0.956,0,-207.387,-186.63,-191.88,-214.6,-215.68,35,0,0,0,1,0,0,0,0,3.8
25,44,WIPE,4620,0.924,0,-194.473,-153.93,-173.98,-198.31,-211.13,10,15,15,40,0,0,0,0,0,3.9
26,24,WIPE,4715,0.943,0,-204.25,-175.08,-202.13,-201.79,-208.83,0,0,35,80,0,0,0,0,0,4.0
27,30,WIPE,5000,1.0,0,-218.72,-220.17,-215.37,-218.42,-222.37,0,0,0,0,0,0,0,0,0,4.1
28,27,WIPE,4955,0.991,0,-213.217,-217.56,-204.91,-214.88,-219.86,20,10,15,0,0,0,0,0,0,4.2
29,28,WIPE,4955,0.991,0,-214.76,-217.78,-206.03,-216.72,-221.53,45,0,0,0,1,0,0,0,0,4.2
30,29,WIPE,4825,0.965,0,-210.91,-196.64,-208.89,-213.55,-210.29,0,0,50,0,1,0,0,0,0,4.3
31,30,WIPE,4900,0.98,0,-207.217,-215.98,-202.23,-207.09,-212.33,20,15,65,40,2,0,0,0,0,4.4
32,32,WIPE,4845,0.969,0,-210.607,-206.12,-207.92,-210.53,-213.37,20,20,50,0,0,0,0,0,0,4.5
33,34,WIPE,4700,0.94,0,-205.12,-173.8,-203.05,-205.51,-206.8,0,15,35,0,2,0,0,0,0,4.6
34,42,WIPE,4980,0.996,0,-211.5,-223.28,-204.63,-210.44,-219.43,0,5,15,40,2,0,0,0,0,4.7
35,34,WIPE,4925,0.985,0,-209.87,-216.1,-203.15,-213.41,-213.05,35,5,35,0,1,0,0,0,0,4.8
36,23,WIPE,4715,0.943,0,-208.36,-179.94,-210.09,-209.0,-205.99,10,5,50,0,0,0,0,0,0,4.9
37,33,WIPE,4720,0.944,0,-212.747,-178.45,-216.25,-208.69,-213.3,60,0,0,0,2,0,0,0,0,5.0
